0,1068.12681
0.2909642,1068.11693
0.5877633,1068.09685
0.8798755,1068.08757
1.1688514,1068.06929
1.4583961,1068.0609
1.7390075,1068.05252
2.0216691,1068.03544
2.318017,1068.02765
2.622927,1068.01177
2.9152905,1068.00368
3.2119977,1067.9887
3.4815168,1067.98092
3.7773317,1067.96624
4.0695299,1067.95905
4.3497615,1067.95156
4.6504366,1067.93748
4.9375001,1067.93029
5.2073807,1067.91591
5.5098559,1067.90902
5.8098455,1067.89524
6.1011885,1067.88834
6.3873053,1067.88145
6.6767866,1067.86468
6.9571152,1067.85299
7.2498304,1067.81944
7.5297789,1067.76971
7.8112437,1067.7023
8.1098331,1067.66156
8.3891624,1067.61662
8.6901076,1067.51477
8.9677216,1067.45785
9.2399578,1067.33382
9.5369382,1067.26731
9.8178878,1067.19781
10.0913636,1067.05221
10.3798229,1066.97582
10.6694869,1066.81794
10.9497845,1066.73615
11.2197701,1066.65287
11.5020443,1066.48241
11.796729,1066.39613
12.0808277,1066.22027
12.3634155,1066.131
12.6588712,1066.04112
12.9460538,1065.85987
13.2377061,1065.7685
13.529822,1065.58486
13.8293531,1065.49288
14.1095712,1065.30774
14.3808145,1065.21487
14.6613761,1065.1217
14.9397723,1064.93656
15.1980657,1064.84339
15.4785026,1064.75022
15.7719273,1064.56448
16.0484456,1064.47221
16.3251544,1064.28677
16.6066614,1064.1942
16.896782,1064.10192
17.177965,1063.91858
17.444645,1063.82661
17.730488,1063.64386
18.007861,1063.55279
18.271373,1063.37154
18.5508351,1063.1903
18.8776405,1063.10012
19.1597334,1062.92067
19.42976,1062.83199
19.7553305,1062.65374
20.0098119,1062.56447
20.2753385,1062.47609
20.5600199,1062.30084
20.8367843,1062.21306
21.1192479,1062.12588
21.3897407,1061.95122
21.67576,1061.86434
21.9523615,1061.77806
22.2321483,1061.6061
22.49563,1061.52042
22.7632365,1061.43504
23.0564919,1061.26518
23.3184361,1061.1801
23.5920275,1061.01203
23.8673233,1060.92815
24.1302415,1060.84457
24.4177618,1060.6777
24.7101236,1060.59471
24.9702172,1060.51233
25.2723193,1060.34756
25.5297101,1060.26607
25.8102975,1060.18429
26.0932486,1060.02101
26.3812486,1059.94043
26.6415494,1059.77895
26.9291171,1059.69866
27.2065012,1059.61897
27.4839542,1059.4596
27.7770669,1059.30082
28.0381362,1059.22203
28.328431,1059.06535
28.604936,1058.98746
28.8825044,1058.83137
29.1594477,1058.75408
29.4259389,1058.67709
29.7130619,1058.5234
29.9903594,1058.44701
30.2552947,1058.37092
30.5430195,1058.21843
30.8100061,1058.14293
31.0765663,1058.06804
31.3531886,1057.91765
31.6405614,1057.84305
31.92805,1057.69476
32.1855698,1057.62106
32.471364,1057.54706
32.772098,1057.39997
33.0417065,1057.32717
33.3296897,1057.18127
33.6195548,1057.10907
33.8892526,1057.03688
34.1672167,1056.89278
34.4502762,1056.82148
34.7163835,1056.74988
34.9993201,1056.60757
35.2667131,1056.53657
35.5494178,1056.39577
35.839771,1056.32567
36.1066815,1056.25556
36.3793445,1056.11656
36.6534403,1056.04706
36.9338495,1055.97815
37.2145644,1055.77144
37.4773001,1055.70343
37.7535479,1055.63513
38.028152,1055.49972
38.3358757,1055.43231
38.6460057,1055.2981
38.9399185,1055.23129
39.215736,1055.09768
39.5102958,1055.03117
39.7878181,1054.96556
40.0693115,1054.83345
40.3498383,1054.76814
40.6304944,1054.63752
40.9284765,1054.57281
41.1926517,1054.5084
41.4749446,1054.37898
41.7446981,1054.31427
42.0108736,1054.25016
42.2748949,1054.12344
42.559604,1054.06023
42.8652798,1053.9335
43.1303219,1053.87089
43.4159412,1053.80768
43.6897958,1053.68275
43.9775993,1053.62074
44.2616514,1053.55872
44.5351621,1053.4353
44.8386349,1053.37358
45.1239672,1053.25135
45.4058524,1053.18994
45.6844865,1053.12912
45.9718896,1052.94818
46.2675801,1052.88826
46.5490331,1052.76873
46.8449279,1052.70911
47.1320594,1052.59047
47.4162945,1052.53176
47.6904125,1052.47274
47.9920069,1052.3553
48.2842216,1052.29688
48.5864025,1052.18095
48.879534,1052.12313
49.1805442,1052.00779
49.4662102,1051.95057
49.7532686,1051.83643
50.0485335,1051.77921
50.3263504,1051.72258
50.641134,1051.60994
50.9371036,1051.55362
51.2418675,1051.44158
51.506528,1051.38645
51.8093779,1051.27531
52.0846495,1051.21989
52.3489164,1051.16476
52.6421649,1051.05482
52.9180014,1051.00029
53.2267201,1050.89244
53.5101617,1050.83762
53.7955944,1050.72917
54.0895414,1050.67584
54.3644495,1050.62222
54.6599525,1050.51557
54.9557934,1050.46254
55.2505199,1050.35619
55.5256118,1050.30346
55.8129429,1050.19861
56.1051789,1050.09465
56.3908652,1050.04283
56.6847847,1049.93977
56.9693496,1049.88824
57.2643537,1049.78519
57.5605803,1049.73456
57.8364705,1049.68393
58.161287,1049.58207
58.436746,1049.53174
58.7585552,1049.43078
59.0495221,1049.38075
59.3410134,1049.28099
59.6777993,1049.18243
59.9619454,1049.133
60.2473994,1049.08356
60.5443925,1048.9853
60.8273797,1048.93677
61.1211254,1048.8403
61.4162737,1048.79147
61.729193,1048.69501
62.0160646,1048.64677
62.2994098,1048.59884
62.6044778,1048.50387
62.8989239,1048.45594
63.2043603,1048.36157
63.4894136,1048.31424
63.8006113,1048.22047
64.0854071,1048.17433
64.3767017,1048.03473
64.6720592,1047.98829
64.9635339,1047.89662
65.2498886,1047.85078
65.5247475,1047.80555
65.8276003,1047.71387
66.1176794,1047.66834
66.4131278,1047.57876
66.7018923,1047.53353
66.9914849,1047.48889
67.2783558,1047.39961
67.5761441,1047.35527
67.8711895,1047.2666
68.1413638,1047.22256
