"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.370,0.430,0.127,-1.322
0.03,2.375,,,
0.04,2.375,0.433,0.106,-1.688
0.05,2.370,,,
0.06,2.370,0.435,0.069,-2.182
0.07,2.375,,,
0.08,2.370,0.436,0.016,-2.561
0.09,2.375,,,
0.10,2.370,0.436,-0.040,-2.625
0.11,2.375,,,
0.12,2.370,0.434,-0.091,-2.527
0.13,2.375,,,
0.14,2.375,0.432,-0.143,-2.303
0.15,2.370,,,
0.16,2.375,0.429,-0.187,-1.863
0.17,2.375,,,
0.18,2.370,0.424,-0.217,-1.399
0.19,2.380,,,
0.20,2.375,0.420,-0.243,-0.909
0.21,2.375,,,
0.22,2.375,0.415,-0.257,-0.286
0.23,1.888,,,
0.24,1.716,0.409,-0.253,0.275
0.25,2.375,,,
0.26,2.375,0.404,-0.245,0.819
0.27,2.375,,,
0.28,2.370,0.399,-0.223,1.443
0.29,2.370,,,
0.30,2.370,0.395,-0.186,1.988
0.31,2.375,,,
0.32,2.375,0.392,-0.142,2.434
0.33,2.375,,,
0.34,2.375,0.389,-0.086,2.715
0.35,2.375,,,
0.36,2.375,0.388,-0.028,2.768
0.37,2.375,,,
0.38,2.370,0.388,0.025,2.751
0.39,2.375,,,
0.40,2.375,0.389,0.081,2.693
0.41,2.370,,,
0.42,2.375,0.392,0.137,2.439
0.43,2.370,,,
0.44,2.375,0.395,0.181,2.067
0.45,2.375,,,
0.46,2.370,0.399,0.220,1.638
0.47,2.375,,,
0.48,2.370,0.404,0.250,1.040
0.49,2.375,,,
0.50,2.375,0.409,0.261,0.422
0.51,2.370,,,
0.52,2.375,0.414,0.265,-0.152
0.53,2.370,,,
0.54,2.375,0.420,0.258,-0.844
0.55,2.375,,,
0.56,2.370,0.425,0.230,-1.474
0.57,2.375,,,
0.58,2.370,0.429,0.196,-1.927
0.59,2.375,,,
0.60,2.375,0.433,0.153,-2.309
0.61,2.370,,,
0.62,2.370,0.436,0.102,-2.570
0.63,2.375,,,
0.64,2.375,0.437,0.049,-2.763
0.65,2.375,,,
0.66,2.370,0.438,-0.011,-2.821
0.67,2.375,,,
0.68,2.370,0.437,-0.067,-2.693
0.69,2.375,,,
0.70,2.375,0.435,-0.118,-2.565
0.71,2.370,,,
0.72,2.375,0.432,-0.172,-2.297
0.73,2.375,,,
0.74,2.370,0.428,-0.214,-1.803
0.75,2.375,,,
0.76,2.370,0.423,-0.245,-1.211
0.77,2.375,,,
0.78,2.375,0.418,-0.264,-0.536
0.79,2.370,,,
0.80,2.203,0.412,-0.266,0.079
0.81,1.392,,,
0.82,2.375,0.407,-0.258,0.576
0.83,2.370,,,
0.84,2.375,0.402,-0.244,1.126
0.85,2.375,,,
