"Time","Position","Velocity","Acceleration"
9.40,0.464,0.367,0.181
9.45,0.485,0.331,-1.388
9.50,0.500,0.214,-2.604
9.55,0.508,0.044,-3.178
9.60,0.505,-0.137,-2.969
9.65,0.493,-0.283,-2.027
9.70,0.474,-0.361,-0.576
9.75,0.453,-0.347,1.024
9.80,0.436,-0.247,2.353
9.85,0.426,-0.087,3.095
9.90,0.426,0.095,3.070
9.95,0.437,0.252,2.276
10.00,0.454,0.345,0.919
10.05,0.475,0.353,-0.663
10.10,0.493,0.272,-2.070
10.15,0.505,0.124,-2.950
10.20,0.507,-0.053,-3.099
10.25,0.499,-0.218,-2.477
10.30,0.482,-0.326,-1.244
10.35,0.463,-0.354,0.285
10.40,0.443,-0.295,1.753
10.45,0.430,-0.161,2.789
10.50,0.426,0.013,3.124
10.55,0.431,0.183,2.701
10.60,0.446,0.307,1.715
10.65,0.465,0.360,0.658
10.70,0.485,0.350,-0.023
10.75,0.500,0.324,-0.363
