"Time","Position","Velocity","Acceleration"
0.05,0.377,-0.002,0.012
0.10,0.377,-0.002,0.027
0.15,0.377,-0.001,0.046
0.20,0.377,0.004,0.042
0.25,0.377,0.005,0.007
0.30,0.377,0.003,-0.007
0.35,0.377,0.003,0.005
0.40,0.377,0.005,-0.002
0.45,0.378,0.004,-0.026
0.50,0.378,0.001,-0.032
0.55,0.378,0.000,-0.017
0.60,0.378,-0.001,0.000
0.65,0.378,0.000,0.007
0.70,0.378,0.001,0.001
0.75,0.378,0.000,-0.005
0.80,0.378,-0.001,0.002
0.85,0.378,0.000,0.009
0.90,0.378,0.001,0.005
0.95,0.378,0.001,0.001
1.00,0.378,0.001,-0.012
1.05,0.378,0.000,-0.026
1.10,0.378,-0.003,-0.016
1.15,0.378,-0.002,0.010
1.20,0.378,-0.001,0.023
1.25,0.378,0.000,0.022
1.30,0.378,0.002,0.007
1.35,0.378,0.002,-0.014
1.40,0.378,-0.001,-0.014
1.45,0.378,-0.001,-0.001
1.50,0.378,0.000,0.004
1.55,0.378,0.000,0.010
1.60,0.378,-0.001,0.070
1.65,0.378,0.002,0.263
1.70,0.378,0.017,0.603
1.75,0.378,0.061,0.893
1.80,0.382,0.127,0.740
1.85,0.392,0.166,0.013
1.90,0.403,0.131,-0.737
1.95,0.407,0.052,-0.737
2.00,0.405,0.028,-0.165
2.05,0.407,0.054,0.116
2.10,0.411,0.062,-0.094
2.15,0.414,0.061,-0.687
2.20,0.420,0.006,-1.440
2.25,0.418,-0.114,-1.536
2.30,0.406,-0.194,-0.716
2.35,0.395,-0.194,0.353
2.40,0.385,-0.143,1.160
2.45,0.379,-0.062,1.589
2.50,0.378,0.029,1.664
2.55,0.382,0.116,1.433
2.60,0.391,0.183,0.951
2.65,0.402,0.218,0.306
2.70,0.414,0.215,-0.388
2.75,0.425,0.176,-1.003
2.80,0.433,0.109,-1.456
2.85,0.437,0.021,-1.681
2.90,0.435,-0.072,-1.609
2.95,0.429,-0.152,-1.241
3.00,0.419,-0.204,-0.659
3.05,0.407,-0.222,0.028
3.10,0.395,-0.201,0.708
3.15,0.386,-0.146,1.264
3.20,0.380,-0.066,1.602
3.25,0.378,0.025,1.664
3.30,0.382,0.112,1.434
3.35,0.391,0.178,0.961
3.40,0.401,0.214,0.346
3.45,0.413,0.216,-0.342
3.50,0.425,0.178,-0.985
3.55,0.432,0.110,-1.441
3.60,0.436,0.025,-1.659
3.65,0.435,-0.067,-1.600
3.70,0.429,-0.147,-1.254
3.75,0.419,-0.202,-0.687
3.80,0.407,-0.221,-0.007
3.85,0.396,-0.202,0.672
3.90,0.386,-0.149,1.236
3.95,0.380,-0.070,1.585
4.00,0.378,0.021,1.660
4.05,0.382,0.108,1.451
4.10,0.390,0.176,0.997
4.15,0.401,0.214,0.377
4.20,0.413,0.216,-0.311
4.25,0.424,0.181,-0.950
4.30,0.432,0.115,-1.423
4.35,0.436,0.028,-1.647
4.40,0.435,-0.061,-1.595
4.45,0.430,-0.142,-1.279
4.50,0.420,-0.199,-0.733
4.55,0.408,-0.221,-0.050
4.60,0.396,-0.204,0.636
4.65,0.387,-0.152,1.200
4.70,0.380,-0.076,1.562
4.75,0.379,0.015,1.661
4.80,0.382,0.102,1.469
4.85,0.389,0.172,1.024
4.90,0.400,0.212,0.401
4.95,0.412,0.215,-0.288
5.00,0.423,0.181,-0.921
5.05,0.432,0.116,-1.398
5.10,0.436,0.032,-1.639
5.15,0.435,-0.059,-1.599
5.20,0.429,-0.140,-1.281
5.25,0.420,-0.196,-0.736
5.30,0.408,-0.219,-0.063
5.35,0.397,-0.203,0.620
5.40,0.387,-0.152,1.185
5.45,0.381,-0.075,1.536
5.50,0.379,0.012,1.634
5.55,0.382,0.099,1.466
5.60,0.389,0.169,1.043
5.65,0.400,0.210,0.441
5.70,0.412,0.217,-0.242
5.75,0.423,0.185,-0.889
5.80,0.431,0.121,-1.380
5.85,0.436,0.037,-1.640
5.90,0.435,-0.054,-1.614
5.95,0.430,-0.136,-1.302
6.00,0.421,-0.193,-0.771
6.05,0.409,-0.218,-0.113
6.10,0.398,-0.205,0.562
6.15,0.388,-0.158,1.145
6.20,0.381,-0.083,1.535
6.25,0.379,0.006,1.657
6.30,0.381,0.094,1.493
6.35,0.389,0.166,1.072
6.40,0.399,0.209,0.466
6.45,0.411,0.216,-0.217
6.50,0.422,0.186,-0.861
6.55,0.431,0.124,-1.356
6.60,0.436,0.041,-1.619
6.65,0.435,-0.049,-1.604
6.70,0.430,-0.131,-1.314
6.75,0.421,-0.190,-0.796
6.80,0.410,-0.216,-0.142
6.85,0.398,-0.205,0.529
6.90,0.388,-0.159,1.109
6.95,0.381,-0.087,1.509
7.00,0.379,0.002,1.650
7.05,0.381,0.090,1.501
7.10,0.388,0.162,1.096
7.15,0.399,0.208,0.497
7.20,0.410,0.216,-0.186
7.25,0.422,0.187,-0.828
7.30,0.430,0.127,-1.333
7.35,0.435,0.045,-1.616
7.40,0.435,-0.046,-1.614
7.45,0.430,-0.128,-1.328
7.50,0.422,-0.188,-0.821
7.55,0.410,-0.216,-0.178
7.60,0.399,-0.207,0.496
7.65,0.388,-0.163,1.088
7.70,0.381,-0.090,1.493
7.75,0.379,-0.003,1.638
7.80,0.381,0.084,1.509
7.85,0.388,0.158,1.124
7.90,0.398,0.205,0.536
7.95,0.410,0.216,-0.145
8.00,0.421,0.189,-0.793
8.05,0.430,0.131,-1.306
8.10,0.435,0.050,-1.596
8.15,0.435,-0.040,-1.611
8.20,0.431,-0.123,-1.348
8.25,0.422,-0.184,-0.853
8.30,0.411,-0.214,-0.213
8.35,0.399,-0.207,0.463
8.40,0.389,-0.164,1.059
8.45,0.382,-0.094,1.474
8.50,0.379,-0.007,1.639
8.55,0.381,0.082,1.523
8.60,0.388,0.156,1.143
8.65,0.398,0.204,0.565
8.70,0.409,0.217,-0.118
8.75,0.421,0.192,-0.781
8.80,0.430,0.133,-1.295
8.85,0.435,0.053,-1.589
8.90,0.436,-0.037,-1.619
8.95,0.431,-0.120,-1.365
9.00,0.423,-0.183,-0.875
9.05,0.412,-0.214,-0.241
9.10,0.400,-0.208,0.431
