"Time","Position","Velocity","Acceleration"
9.15,0.389,-0.168,1.036
9.20,0.382,-0.098,1.466
9.25,0.379,-0.011,1.636
9.30,0.381,0.077,1.525
9.35,0.387,0.152,1.161
9.40,0.397,0.201,0.597
9.45,0.409,0.216,-0.074
9.50,0.420,0.194,-0.734
9.55,0.429,0.138,-1.267
9.60,0.435,0.058,-1.580
9.65,0.436,-0.031,-1.616
9.70,0.432,-0.115,-1.380
9.75,0.423,-0.179,-0.909
9.80,0.412,-0.212,-0.279
9.85,0.401,-0.209,0.401
9.90,0.390,-0.169,1.010
9.95,0.383,-0.101,1.438
10.00,0.379,-0.015,1.622
10.05,0.381,0.073,1.531
10.10,0.387,0.148,1.178
10.15,0.397,0.199,0.624
10.20,0.408,0.215,-0.039
10.25,0.420,0.195,-0.698
10.30,0.429,0.141,-1.241
10.35,0.435,0.062,-1.572
10.40,0.436,-0.028,-1.623
10.45,0.432,-0.112,-1.393
10.50,0.424,-0.177,-0.930
10.55,0.413,-0.211,-0.309
10.60,0.401,-0.210,0.365
10.65,0.391,-0.173,0.981
10.70,0.383,-0.105,1.431
10.75,0.379,-0.019,1.625
10.80,0.381,0.069,1.540
10.85,0.387,0.145,1.196
10.90,0.396,0.197,0.648
10.95,0.408,0.215,-0.011
11.00,0.419,0.196,-0.668
11.05,0.429,0.143,-1.212
11.10,0.435,0.066,-1.550
11.15,0.436,-0.022,-1.621
11.20,0.432,-0.107,-1.410
11.25,0.424,-0.174,-0.953
11.30,0.414,-0.209,-0.336
11.35,0.402,-0.209,0.328
11.40,0.391,-0.174,0.938
11.45,0.383,-0.109,1.393
11.50,0.380,-0.025,1.608
11.55,0.381,0.063,1.545
11.60,0.386,0.140,1.215
11.65,0.396,0.193,0.677
11.70,0.407,0.213,0.025
11.75,0.418,0.196,-0.628
11.80,0.428,0.145,-1.172
11.85,0.434,0.071,-1.520
11.90,0.435,-0.017,-1.609
11.95,0.432,-0.102,-1.421
12.00,0.425,-0.169,-0.985
12.05,0.414,-0.207,-0.376
12.10,0.402,-0.209,0.292
12.15,0.392,-0.176,0.905
12.20,0.384,-0.112,1.367
12.25,0.380,-0.030,1.595
12.30,0.381,0.058,1.550
12.35,0.386,0.136,1.243
12.40,0.395,0.191,0.717
12.45,0.406,0.213,0.063
12.50,0.418,0.198,-0.600
12.55,0.428,0.149,-1.157
12.60,0.434,0.074,-1.514
12.65,0.436,-0.013,-1.613
12.70,0.432,-0.098,-1.433
12.75,0.425,-0.167,-1.003
12.80,0.415,-0.206,-0.402
12.85,0.403,-0.210,0.266
12.90,0.392,-0.177,0.887
12.95,0.384,-0.114,1.350
13.00,0.380,-0.033,1.584
13.05,0.380,0.055,1.549
13.10,0.386,0.133,1.245
13.15,0.395,0.188,0.732
13.20,0.406,0.211,0.096
13.25,0.417,0.198,-0.558
13.30,0.427,0.152,-1.122
13.35,0.434,0.078,-1.496
13.40,0.435,-0.009,-1.608
13.45,0.433,-0.094,-1.437
13.50,0.425,-0.162,-1.022
13.55,0.415,-0.203,-0.436
13.60,0.404,-0.209,0.227
13.65,0.393,-0.179,0.849
13.70,0.385,-0.118,1.324
13.75,0.380,-0.037,1.571
13.80,0.381,0.050,1.552
13.85,0.386,0.128,1.271
13.90,0.394,0.186,0.770
13.95,0.406,0.211,0.127
14.00,0.417,0.199,-0.536
14.05,0.427,0.154,-1.101
14.10,0.433,0.082,-1.480
14.15,0.436,-0.004,-1.604
14.20,0.433,-0.090,-1.449
14.25,0.426,-0.159,-1.045
14.30,0.416,-0.201,-0.469
14.35,0.404,-0.210,0.188
14.40,0.393,-0.182,0.817
14.45,0.385,-0.122,1.310
14.50,0.380,-0.041,1.577
14.55,0.381,0.047,1.565
14.60,0.385,0.126,1.282
14.65,0.394,0.184,0.782
14.70,0.405,0.209,0.155
14.75,0.416,0.200,-0.496
14.80,0.426,0.157,-1.069
14.85,0.433,0.086,-1.461
14.90,0.436,0.000,-1.602
14.95,0.433,-0.086,-1.463
15.00,0.426,-0.156,-1.073
15.05,0.417,-0.200,-0.504
15.10,0.405,-0.210,0.159
15.15,0.394,-0.183,0.798
15.20,0.385,-0.124,1.285
15.25,0.381,-0.046,1.555
15.30,0.380,0.041,1.568
15.35,0.385,0.122,1.303
15.40,0.394,0.181,0.810
15.45,0.405,0.209,0.184
15.50,0.416,0.200,-0.469
15.55,0.426,0.159,-1.042
15.60,0.433,0.089,-1.442
15.65,0.436,0.004,-1.594
15.70,0.433,-0.081,-1.469
15.75,0.427,-0.153,-1.091
15.80,0.417,-0.198,-0.526
15.85,0.406,-0.209,0.126
15.90,0.395,-0.185,0.757
15.95,0.386,-0.128,1.258
16.00,0.381,-0.050,1.542
16.05,0.381,0.037,1.560
16.10,0.385,0.117,1.314
16.15,0.393,0.177,0.844
16.20,0.404,0.207,0.230
16.25,0.415,0.202,-0.428
16.30,0.425,0.161,-1.016
16.35,0.432,0.093,-1.428
16.40,0.435,0.009,-1.594
16.45,0.433,-0.077,-1.482
16.50,0.427,-0.150,-1.113
16.55,0.417,-0.197,-0.553
16.60,0.406,-0.209,0.098
16.65,0.395,-0.186,0.725
16.70,0.386,-0.131,1.229
16.75,0.381,-0.055,1.530
16.80,0.380,0.032,1.570
16.85,0.384,0.114,1.333
16.90,0.392,0.175,0.868
16.95,0.403,0.206,0.260
17.00,0.414,0.203,-0.398
17.05,0.425,0.164,-0.995
17.10,0.432,0.096,-1.417
17.15,0.435,0.012,-1.585
17.20,0.433,-0.073,-1.481
17.25,0.427,-0.146,-1.127
17.30,0.418,-0.194,-0.581
17.35,0.406,-0.208,0.066
17.40,0.395,-0.187,0.702
17.45,0.386,-0.133,1.213
17.50,0.381,-0.057,1.517
17.55,0.380,0.029,1.561
17.60,0.384,0.110,1.342
17.65,0.392,0.172,0.897
17.70,0.403,0.206,0.293
17.75,0.414,0.204,-0.366
17.80,0.424,0.167,-0.963
17.85,0.432,0.101,-1.391
17.90,0.435,0.018,-1.577
17.95,0.434,-0.068,-1.494
18.00,0.428,-0.142,-1.157
18.05,0.419,-0.192,-0.620
18.10,0.407,-0.208,0.021
18.15,0.396,-0.189,0.656
18.20,0.387,-0.138,1.184
18.25,0.382,-0.063,1.510
18.30,0.380,0.023,1.572
18.35,0.384,0.106,1.361
18.40,0.392,0.169,0.913
18.45,0.402,0.203,0.315
18.50,0.413,0.203,-0.334
18.55,0.424,0.168,-0.931
18.60,0.431,0.103,-1.370
18.65,0.435,0.021,-1.571
18.70,0.434,-0.065,-1.497
18.75,0.428,-0.139,-1.162
18.80,0.419,-0.189,-0.633
18.85,0.408,-0.207,-0.003
18.90,0.397,-0.190,0.630
18.95,0.387,-0.140,1.161
19.00,0.382,-0.065,1.494
19.05,0.380,0.020,1.567
19.10,0.384,0.102,1.369
19.15,0.391,0.166,0.939
19.20,0.402,0.203,0.351
19.25,0.413,0.204,-0.302
19.30,0.423,0.170,-0.906
19.35,0.431,0.107,-1.352
19.40,0.435,0.026,-1.555
19.45,0.434,-0.060,-1.473
19.50,0.429,-0.132,-1.188
19.55,0.419,-0.179,-0.885
19.60,0.408,-0.206,-0.672
