"Time","Potential","Position","Velocity","Acceleration"
0.01,2.370,,,
0.02,2.375,0.490,-0.046,-3.715
0.03,2.375,,,
0.04,2.370,0.490,-0.112,-4.246
0.05,2.375,,,
0.06,2.375,0.488,-0.209,-4.740
0.07,2.375,,,
0.08,2.375,0.482,-0.310,-4.847
0.09,2.375,,,
0.10,2.375,0.475,-0.408,-4.631
0.11,2.375,,,
0.12,2.375,0.466,-0.501,-3.995
0.13,2.375,,,
0.14,2.375,0.454,-0.574,-3.020
0.15,2.375,,,
0.16,2.370,0.442,-0.624,-1.938
0.17,2.375,,,
0.18,2.375,0.429,-0.650,-0.867
0.19,2.370,,,
0.20,2.375,0.416,-0.658,0.211
0.21,2.375,,,
0.22,2.375,0.403,-0.644,1.393
0.23,2.375,,,
0.24,2.370,0.390,-0.603,2.582
0.25,2.375,,,
0.26,2.375,0.378,-0.539,3.682
0.27,2.375,,,
0.28,2.370,0.368,-0.454,4.670
0.29,2.370,,,
0.30,2.375,0.360,-0.348,5.401
0.31,2.375,,,
0.32,2.370,0.354,-0.235,5.934
0.33,2.375,,,
0.34,2.375,0.350,-0.108,6.277
0.35,2.370,,,
0.36,2.375,0.349,0.022,6.301
0.37,2.375,,,
0.38,2.375,0.351,0.145,6.214
0.39,2.370,,,
0.40,1.204,0.355,0.272,5.967
0.41,2.274,,,
0.42,2.375,0.362,0.391,5.343
0.43,2.375,,,
0.44,2.375,0.371,0.490,4.501
0.45,2.370,,,
0.46,2.375,0.382,0.570,3.602
0.47,2.375,,,
0.48,2.370,0.394,0.636,2.524
0.49,2.375,,,
0.50,2.375,0.408,0.680,1.031
0.51,2.375,,,
0.52,2.375,0.422,0.679,-0.520
0.53,2.375,,,
0.54,2.375,0.435,0.651,-1.679
0.55,2.370,,,
0.56,2.375,0.448,0.610,-2.692
0.57,2.375,,,
0.58,2.370,0.460,0.543,-3.638
0.59,2.375,,,
0.60,2.375,0.470,0.461,-4.414
0.61,2.375,,,
0.62,2.370,0.479,0.367,-5.192
0.63,2.370,,,
0.64,2.375,0.485,0.253,-5.904
0.65,2.375,,,
0.66,2.375,0.489,0.125,-6.289
0.67,2.375,,,
0.68,2.375,0.490,-0.006,-6.284
0.69,2.375,,,
0.70,2.375,0.489,-0.131,-5.986
0.71,2.370,,,
0.72,2.375,0.485,-0.246,-5.598
0.73,2.375,,,
0.74,2.375,0.479,-0.354,-5.198
0.75,2.375,,,
0.76,2.370,0.471,-0.459,-4.522
0.77,2.375,,,
0.78,2.375,0.460,-0.541,-3.525
0.79,2.375,,,
0.80,2.375,0.449,-0.599,-2.496
0.81,2.375,,,
0.82,2.375,0.436,-0.640,-1.485
0.83,2.375,,,
0.84,2.375,0.423,-0.662,-0.326
0.85,2.370,,,
0.86,2.375,0.409,-0.656,0.977
0.87,2.375,,,
0.88,2.375,0.396,-0.620,2.155
0.89,2.375,,,
0.90,2.375,0.384,-0.568,3.205
0.91,2.370,,,
0.92,2.375,0.373,-0.492,4.211
0.93,2.370,,,
0.94,2.375,0.364,-0.395,5.008
0.95,2.375,,,
0.96,2.370,0.357,-0.288,5.609
0.97,2.375,,,
0.98,2.370,0.352,-0.169,6.043
0.99,2.375,,,
1.00,2.375,0.350,-0.041,6.172
1.01,2.370,,,
1.02,2.375,0.351,0.081,6.105
1.03,2.375,,,
1.04,2.370,0.353,0.203,5.945
1.05,1.919,,,
1.06,1.579,0.359,0.324,5.486
1.07,2.370,,,
1.08,2.370,0.367,0.428,4.755
1.09,2.375,,,
1.10,2.375,0.376,0.517,3.873
1.11,2.370,,,
1.12,2.375,0.388,0.584,2.900
1.13,2.370,,,
1.14,2.375,0.400,0.632,1.900
1.15,2.375,,,
1.16,2.370,0.413,0.663,0.735
1.17,2.375,,,
1.18,2.370,0.427,0.666,-0.622
1.19,2.375,,,
1.20,2.375,0.440,0.637,-1.934
1.21,2.375,,,
1.22,2.375,0.453,0.584,-3.047
1.23,2.375,,,
1.24,2.370,0.464,0.512,-3.957
1.25,2.375,,,
1.26,2.375,0.473,0.424,-4.704
1.27,2.375,,,
1.28,2.370,0.481,0.323,-5.365
1.29,2.375,,,
1.30,2.375,0.486,0.205,-5.778
1.31,2.375,,,
1.32,2.375,0.489,0.086,-5.900
1.33,2.375,,,
1.34,2.370,0.490,-0.031,-5.951
1.35,2.375,,,
1.36,2.375,0.488,-0.154,-5.841
1.37,2.370,,,
1.38,2.370,0.484,-0.270,-5.457
1.39,2.375,,,
1.40,2.375,0.477,-0.375,-4.892
1.41,2.370,,,
1.42,2.375,0.468,-0.469,-4.149
1.43,2.375,,,
1.44,2.370,0.458,-0.542,-3.310
1.45,2.375,,,
1.46,2.375,0.447,-0.600,-2.476
1.47,2.370,,,
1.48,2.375,0.434,-0.646,-1.417
1.49,2.375,,,
1.50,2.370,0.420,-0.662,-0.097
1.51,2.375,,,
1.52,2.370,0.407,-0.644,1.001
1.53,2.375,,,
1.54,2.375,0.394,-0.618,1.916
1.55,2.370,,,
1.56,2.375,0.382,-0.576,3.182
1.57,2.370,,,
1.58,2.375,0.371,-0.493,4.522
1.59,2.375,,,
1.60,2.370,0.362,-0.386,5.439
1.61,2.375,,,
1.62,2.370,0.355,-0.268,5.959
1.63,2.375,,,
1.64,2.370,0.351,-0.144,6.223
1.65,2.375,,,
1.66,2.370,0.349,-0.018,6.374
