"Time","Position","Velocity","Acceleration","Potential"
0.02,0.418,-0.004,0.161,
0.04,0.418,-0.002,0.163,
0.06,0.418,0.004,0.116,
0.08,0.418,0.005,0.000,
0.10,0.418,0.001,-0.014,
0.12,0.418,0.004,0.000,
0.14,0.418,0.002,-0.022,
0.16,0.418,0.001,0.034,
0.18,0.418,0.003,0.096,
0.20,0.418,0.007,0.043,
0.22,0.419,0.007,-0.104,
0.24,0.419,0.000,-0.128,
0.26,0.419,-0.001,-0.012,
0.28,0.418,0.001,0.047,
0.30,0.419,0.003,-0.001,
0.32,0.419,0.001,-0.047,
0.34,0.419,-0.001,-0.015,
0.36,0.419,0.002,-0.024,
0.38,0.419,0.001,-0.124,
0.40,0.419,-0.005,-0.141,
0.42,0.419,-0.008,-0.043,
0.44,0.418,-0.007,0.064,
0.46,0.418,-0.003,0.060,
0.48,0.418,-0.003,-0.036,
0.50,0.418,-0.006,-0.031,
0.52,0.418,-0.006,0.063,
0.54,0.418,-0.001,0.062,
0.56,0.418,-0.002,-0.016,
0.58,0.418,-0.005,0.037,
0.60,0.418,0.000,0.088,
0.62,0.418,0.002,0.002,
0.64,0.418,-0.002,-0.006,
0.66,0.418,-0.001,0.064,
0.68,0.418,0.003,0.034,
0.70,0.418,0.002,-0.050,
0.72,0.418,-0.001,-0.024,
0.74,0.418,0.000,0.062,
0.76,0.418,0.002,0.120,
0.78,0.418,0.007,0.076,
0.80,0.418,0.007,-0.058,
0.82,0.418,0.001,-0.065,
0.84,0.418,0.003,-0.007,
0.86,0.418,0.003,-0.006,
0.88,0.418,0.003,-0.017,
0.90,0.418,0.002,-0.030,
0.92,0.418,0.000,0.022,
0.94,0.418,0.004,0.027,
0.96,0.419,0.003,-0.052,
0.98,0.418,-0.001,-0.038,
1.00,0.418,0.001,-0.021,
1.02,0.419,0.001,-0.098,
1.04,0.419,-0.003,-0.140,
1.06,0.418,-0.006,-0.094,
1.08,0.418,-0.008,-0.001,
1.10,0.418,-0.007,0.091,
1.12,0.418,-0.002,0.066,
1.14,0.418,-0.002,-0.062,
1.16,0.418,-0.008,-0.046,
1.18,0.418,-0.007,0.102,
1.20,0.418,-0.001,0.160,
1.22,0.418,0.003,0.076,
1.24,0.418,0.002,-0.048,
1.26,0.418,-0.002,-0.055,
1.28,0.418,-0.002,0.032,
1.30,0.418,0.000,0.109,
1.32,0.418,0.005,0.094,
1.34,0.418,0.005,0.004,
1.36,0.418,0.003,-0.001,
1.38,0.418,0.004,0.038,
1.40,0.418,0.007,-0.009,
1.42,0.418,0.004,-0.072,
1.44,0.418,0.001,-0.020,
1.46,0.418,0.002,0.107,
1.48,0.418,0.008,0.097,
1.50,0.419,0.008,-0.025,
1.52,0.419,0.004,-0.008,
1.54,0.419,0.006,0.131,
1.56,0.419,0.009,0.302,
1.58,0.419,0.019,0.403,
1.60,0.420,0.028,0.379,
1.62,0.420,0.033,0.401,
1.64,0.421,0.042,0.500,
1.66,0.422,0.053,0.590,
1.68,0.423,0.069,0.526,
1.70,0.425,0.078,0.276,
1.72,0.426,0.078,0.108,
1.74,0.428,0.079,0.078,
1.76,0.429,0.081,0.032,
1.78,0.431,0.084,-0.168,
1.80,0.433,0.077,-0.513,
1.82,0.434,0.061,-0.768,
1.84,0.435,0.044,-0.895,
1.86,0.436,0.025,-0.982,
1.88,0.436,0.006,-1.120,
1.90,0.436,-0.019,-1.321,
1.92,0.436,-0.049,-1.390,
1.94,0.434,-0.077,-1.315,
1.96,0.433,-0.103,-1.171,
1.98,0.430,-0.125,-0.941,
2.00,0.427,-0.140,-0.713,
2.02,0.425,-0.153,-0.501,
2.04,0.421,-0.161,-0.250,
2.06,0.418,-0.163,-0.003,
2.08,0.415,-0.162,0.302,
2.10,0.411,-0.153,0.703,
2.12,0.408,-0.135,1.137,
2.14,0.406,-0.106,1.514,
2.16,0.404,-0.073,1.798,
2.18,0.403,-0.032,1.945,
2.20,0.403,0.007,2.008,
2.22,0.403,0.047,2.116,
2.24,0.405,0.092,2.151,
2.26,0.407,0.137,1.975,
2.28,0.410,0.174,1.634,
2.30,0.414,0.201,1.304,
2.32,0.418,0.225,1.011,
2.34,0.423,0.245,0.574,
2.36,0.428,0.252,-0.046,
2.38,0.433,0.242,-0.638,
2.40,0.438,0.224,-1.127,
2.42,0.443,0.197,-1.570,
2.44,0.446,0.160,-1.906,
2.46,0.449,0.118,-2.145,
2.48,0.451,0.076,-2.435,
2.50,0.452,0.022,-2.746,
2.52,0.452,-0.039,-2.825,
