"Time","Position","Velocity","Acceleration"
0.05,0.375,0.001,-0.056
0.10,0.375,-0.002,-0.033
0.15,0.375,-0.004,0.004
0.20,0.375,-0.002,0.037
0.25,0.375,0.002,0.023
0.30,0.375,0.001,-0.007
0.35,0.375,-0.001,-0.008
0.40,0.375,-0.001,0.009
0.45,0.375,0.002,-0.001
0.50,0.375,0.002,-0.050
0.55,0.375,-0.005,-0.066
0.60,0.374,-0.008,-0.018
0.65,0.374,-0.007,0.033
0.70,0.374,-0.004,0.063
0.75,0.374,0.001,0.063
0.80,0.374,0.004,0.025
0.85,0.374,0.004,-0.022
0.90,0.374,0.000,-0.038
0.95,0.374,-0.002,-0.016
1.00,0.374,-0.001,0.006
1.05,0.374,-0.001,0.020
1.10,0.374,0.002,0.017
1.15,0.374,0.003,-0.017
1.20,0.374,-0.001,-0.026
1.25,0.374,-0.002,-0.003
1.30,0.374,0.000,0.002
1.35,0.374,-0.001,0.000
1.40,0.374,-0.002,0.026
1.45,0.374,-0.001,0.122
1.50,0.374,0.006,0.331
1.55,0.374,0.027,0.647
1.60,0.376,0.070,0.891
1.65,0.380,0.132,0.722
1.70,0.389,0.187,-0.244
1.75,0.406,0.110,-1.212
1.80,0.401,0.002,-1.020
1.85,0.400,-0.012,-0.374
1.90,0.400,-0.011,-0.084
1.95,0.399,-0.007,-0.084
2.00,0.399,-0.016,-0.225
2.05,0.398,-0.032,-0.348
2.10,0.396,-0.051,-0.458
2.15,0.393,-0.078,-0.511
2.20,0.389,-0.111,-0.289
2.25,0.382,-0.131,0.444
2.30,0.373,-0.092,1.573
2.35,0.367,0.052,2.177
2.40,0.379,0.182,1.697
2.45,0.390,0.230,0.896
2.50,0.402,0.267,0.101
2.55,0.419,0.244,-0.711
2.60,0.428,0.179,-1.203
2.65,0.437,0.116,-1.519
2.70,0.441,0.029,-1.788
2.75,0.440,-0.072,-1.821
2.80,0.434,-0.172,-1.447
2.85,0.421,-0.232,-0.728
2.90,0.409,-0.245,0.040
2.95,0.396,-0.224,0.737
3.00,0.385,-0.169,1.365
3.05,0.378,-0.084,1.899
3.10,0.376,0.026,2.259
3.15,0.379,0.155,2.189
3.20,0.390,0.289,1.197
3.25,0.413,0.319,-0.552
3.30,0.430,0.189,-1.485
3.35,0.428,0.106,-1.228
3.40,0.437,0.082,-1.097
3.45,0.440,0.017,-1.265
3.50,0.439,-0.056,-1.267
3.55,0.434,-0.121,-1.061
3.60,0.426,-0.162,-0.808
3.65,0.417,-0.192,-0.655
3.70,0.409,-0.246,-0.115
3.75,0.389,-0.235,0.986
3.80,0.381,-0.134,1.843
3.85,0.376,-0.021,2.095
3.90,0.379,0.094,1.863
3.95,0.387,0.178,1.291
4.00,0.398,0.229,0.568
4.05,0.411,0.238,-0.214
4.10,0.423,0.204,-0.925
4.15,0.433,0.138,-1.462
4.20,0.438,0.049,-1.761
4.25,0.438,-0.050,-1.778
4.30,0.433,-0.142,-1.479
4.35,0.423,-0.209,-0.897
4.40,0.410,-0.238,-0.154
4.45,0.397,-0.225,0.616
4.50,0.386,-0.174,1.317
4.55,0.379,-0.089,1.884
4.60,0.376,0.027,2.108
4.65,0.381,0.139,1.864
4.70,0.389,0.254,0.856
4.75,0.414,0.238,-0.371
4.80,0.416,0.162,-0.655
4.85,0.425,0.161,-0.678
4.90,0.434,0.123,-1.109
4.95,0.439,0.047,-1.473
5.00,0.439,-0.045,-1.419
5.05,0.434,-0.118,-0.956
5.10,0.425,-0.144,-0.484
5.15,0.416,-0.109,-0.872
5.20,0.424,-0.239,-1.019
5.25,0.390,-0.317,0.653
5.30,0.379,-0.162,2.156
5.35,0.376,-0.026,2.320
5.40,0.379,0.088,1.932
5.45,0.385,0.170,1.327
5.50,0.397,0.224,0.642
5.55,0.409,0.238,-0.111
5.60,0.422,0.212,-0.841
5.65,0.432,0.148,-1.421
5.70,0.438,0.058,-1.732
5.75,0.438,-0.038,-1.737
5.80,0.433,-0.122,-1.530
5.85,0.426,-0.201,-1.077
5.90,0.412,-0.246,-0.283
5.95,0.399,-0.231,0.569
6.00,0.388,-0.182,1.283
6.05,0.379,-0.100,1.905
6.10,0.377,0.017,2.237
6.15,0.380,0.139,2.098
6.20,0.388,0.283,0.920
6.25,0.418,0.254,-0.640
6.30,0.418,0.145,-0.920
6.35,0.426,0.138,-0.699
6.40,0.433,0.107,-0.919
6.45,0.438,0.051,-1.231
6.50,0.439,-0.028,-1.364
6.55,0.435,-0.097,-1.259
6.60,0.428,-0.150,-1.145
6.65,0.421,-0.214,-0.877
6.70,0.407,-0.266,-0.061
6.75,0.390,-0.238,1.076
6.80,0.380,-0.139,1.849
6.85,0.376,-0.025,2.027
