"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.375,0.408,-0.171,0.934
0.03,2.370,,,
0.04,2.375,0.405,-0.154,1.027
0.05,2.370,,,
0.06,2.370,0.402,-0.131,1.134
0.07,2.370,,,
0.08,2.375,0.400,-0.110,1.307
0.09,2.375,,,
0.10,2.370,0.397,-0.080,1.544
0.11,2.375,,,
0.12,2.375,0.396,-0.045,1.618
0.13,2.370,,,
0.14,2.375,0.396,-0.015,1.658
0.15,2.370,,,
0.16,2.375,0.395,0.020,1.742
0.17,2.375,,,
0.18,2.375,0.396,0.058,1.650
0.19,2.375,,,
0.20,2.370,0.398,0.089,1.413
0.21,2.375,,,
0.22,2.375,0.400,0.113,1.230
0.23,2.375,,,
0.24,2.375,0.402,0.137,1.088
0.25,2.370,,,
0.26,2.375,0.406,0.157,0.934
0.27,2.370,,,
0.28,0.784,0.409,0.174,0.779
0.29,2.370,,,
0.30,2.370,0.413,0.191,0.499
0.31,2.375,,,
0.32,2.375,0.417,0.195,0.155
0.33,2.370,,,
0.34,2.375,0.420,0.195,-0.109
0.35,2.370,,,
0.36,2.375,0.424,0.193,-0.426
0.37,2.375,,,
0.38,2.375,0.428,0.178,-0.742
0.39,2.375,,,
0.40,2.370,0.432,0.160,-0.938
0.41,2.375,,,
0.42,2.375,0.435,0.142,-1.176
0.43,2.370,,,
0.44,2.375,0.437,0.114,-1.450
0.45,2.375,,,
0.46,2.370,0.439,0.080,-1.548
0.47,2.375,,,
0.48,2.370,0.440,0.051,-1.560
0.49,2.370,,,
0.50,2.375,0.441,0.021,-1.686
0.51,2.370,,,
0.52,2.375,0.442,-0.019,-1.725
0.53,2.370,,,
0.54,2.375,0.441,-0.051,-1.622
0.55,2.375,,,
0.56,2.370,0.439,-0.083,-1.498
0.57,2.375,,,
0.58,2.375,0.437,-0.113,-1.305
0.59,2.375,,,
0.60,2.370,0.435,-0.134,-1.166
0.61,2.370,,,
0.62,2.375,0.432,-0.159,-1.014
0.63,2.370,,,
0.64,2.375,0.428,-0.178,-0.714
0.65,2.375,,,
0.66,2.370,0.425,-0.187,-0.436
0.67,2.375,,,
