"Time","Position","Velocity","Acceleration","Potential"
0.01,,,,2.370
0.02,0.418,-0.069,0.357,2.375
0.03,,,,2.375
0.04,0.417,-0.061,0.319,2.370
0.05,,,,2.375
0.06,0.416,-0.056,0.297,2.375
0.07,,,,2.370
0.08,0.415,-0.052,0.384,2.375
0.09,,,,2.370
0.10,0.414,-0.043,0.566,2.375
0.11,,,,2.375
0.12,0.413,-0.027,0.644,2.375
0.13,,,,2.375
0.14,0.413,-0.014,0.601,2.375
0.15,,,,2.375
0.16,0.412,-0.005,0.614,2.375
0.17,,,,2.370
0.18,0.412,0.010,0.612,2.375
0.19,,,,2.370
0.20,0.413,0.022,0.504,2.375
0.21,,,,2.375
0.22,0.413,0.030,0.410,2.370
0.23,,,,2.375
0.24,0.414,0.036,0.434,2.370
0.25,,,,2.375
0.26,0.415,0.047,0.469,2.375
0.27,,,,2.370
0.28,0.416,0.058,0.370,2.375
0.29,,,,2.375
0.30,0.417,0.061,0.310,2.375
0.31,,,,1.083
0.32,0.418,0.068,0.340,1.919
0.33,,,,2.375
0.34,0.420,0.078,0.244,2.375
0.35,,,,2.370
0.36,0.422,0.080,0.045,2.375
0.37,,,,2.375
0.38,0.423,0.076,-0.033,2.375
0.39,,,,2.375
0.40,0.425,0.076,-0.014,2.370
0.41,,,,2.375
0.42,0.426,0.077,-0.046,2.370
0.43,,,,2.375
0.44,0.428,0.077,-0.178,2.375
0.45,,,,2.370
0.46,0.429,0.070,-0.311,2.375
0.47,,,,2.370
0.48,0.431,0.061,-0.321,2.375
0.49,,,,2.375
0.50,0.432,0.059,-0.392,2.370
0.51,,,,2.375
0.52,0.433,0.049,-0.563,2.375
0.53,,,,2.370
0.54,0.434,0.032,-0.555,2.375
0.55,,,,2.375
0.56,0.434,0.023,-0.413,2.375
0.57,,,,2.370
0.58,0.435,0.019,-0.422,2.370
0.59,,,,2.375
0.60,0.435,0.010,-0.571,2.370
0.61,,,,2.375
0.62,0.435,-0.006,-0.616,2.375
0.63,,,,2.370
0.64,0.435,-0.018,-0.520,2.375
0.65,,,,2.375
0.66,0.434,-0.027,-0.410,2.375
0.67,,,,2.370
0.68,0.434,-0.032,-0.424,2.370
0.69,,,,2.375
0.70,0.433,-0.042,-0.523,2.375
0.71,,,,2.370
0.72,0.432,-0.056,-0.486,2.375
0.73,,,,2.370
0.74,0.431,-0.064,-0.323,2.375
0.75,,,,2.370
0.76,0.429,-0.066,-0.250,2.375
0.77,,,,2.375
0.78,0.428,-0.072,-0.278,2.375
0.79,,,,2.375
0.80,0.427,-0.080,-0.218,2.370
0.81,,,,2.375
0.82,0.425,-0.083,-0.049,2.375
0.83,,,,2.370
0.84,0.423,-0.080,0.036,2.375
0.85,,,,2.370
0.86,0.422,-0.079,0.022,2.375
0.87,,,,2.375
0.88,0.420,-0.081,0.116,2.370
0.89,,,,2.375
0.90,0.418,-0.077,0.303,2.375
0.91,,,,2.375
0.92,0.417,-0.066,0.372,2.375
0.93,,,,2.375
0.94,0.416,-0.059,0.324,2.375
0.95,,,,2.375
0.96,0.415,-0.057,0.414,2.370
0.97,,,,2.375
0.98,0.413,-0.045,0.619,2.375
0.99,,,,2.375
1.00,0.413,-0.030,0.724,2.370
1.01,,,,2.375
1.02,0.412,-0.013,0.692,2.375
1.03,,,,2.370
1.04,0.412,0.000,0.574,2.375
1.05,,,,2.375
1.06,0.412,0.007,0.558,2.375
1.07,,,,2.375
1.08,0.412,0.021,0.566,2.375
1.09,,,,2.370
1.10,0.413,0.032,0.466,2.375
1.11,,,,2.370
1.12,0.414,0.040,0.376,2.375
1.13,,,,2.375
1.14,0.415,0.046,0.353,2.370
1.15,,,,2.375
1.16,0.416,0.052,0.429,2.370
1.17,,,,2.375
1.18,0.417,0.065,0.412,2.375
1.19,,,,2.375
1.20,0.418,0.072,0.236,0.804
1.21,,,,2.188
1.22,0.420,0.072,0.139,2.375
1.23,,,,2.375
1.24,0.421,0.074,0.159,2.370
1.25,,,,2.375
1.26,0.423,0.081,0.108,2.370
