"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.375,0.476,0.149,-3.212
0.03,2.370,,,
0.04,2.375,0.480,0.091,-3.656
0.05,2.375,,,
0.06,2.370,0.481,0.013,-4.212
0.07,2.375,,,
0.08,2.370,0.481,-0.078,-4.707
0.09,2.375,,,
0.10,2.375,0.478,-0.184,-4.808
0.11,2.375,,,
0.12,2.375,0.473,-0.279,-4.429
0.13,2.370,,,
0.14,2.375,0.467,-0.361,-3.931
0.15,2.375,,,
0.16,2.375,0.459,-0.438,-3.299
0.17,2.375,,,
0.18,2.370,0.449,-0.497,-2.494
0.19,2.375,,,
0.20,2.370,0.438,-0.537,-1.668
0.21,2.375,,,
0.22,2.370,0.427,-0.566,-0.702
0.23,2.370,,,
0.24,2.375,0.415,-0.569,0.415
0.25,2.375,,,
0.26,2.370,0.404,-0.546,1.408
0.27,2.375,,,
0.28,2.370,0.393,-0.512,2.344
0.29,2.370,,,
0.30,2.375,0.383,-0.453,3.267
0.31,2.375,,,
0.32,2.375,0.375,-0.377,4.010
0.33,2.370,,,
0.34,2.375,0.368,-0.291,4.639
0.35,2.370,,,
0.36,2.375,0.363,-0.189,5.084
0.37,2.370,,,
0.38,2.375,0.360,-0.085,5.340
0.39,2.370,,,
0.40,2.375,0.360,0.026,5.472
0.41,2.370,,,
0.42,2.375,0.361,0.139,5.301
0.43,2.370,,,
0.44,2.375,0.365,0.243,4.847
0.45,2.380,,,
0.46,1.006,0.371,0.334,4.302
0.47,2.370,,,
0.48,2.380,0.379,0.415,3.708
0.49,2.375,,,
0.50,2.375,0.388,0.485,2.949
0.51,2.370,,,
0.52,2.375,0.399,0.536,2.023
0.53,2.375,,,
0.54,2.370,0.410,0.568,0.987
0.55,2.375,,,
0.56,2.370,0.422,0.578,-0.171
0.57,2.370,,,
0.58,2.375,0.433,0.561,-1.298
0.59,2.370,,,
0.60,2.375,0.444,0.523,-2.254
0.61,2.370,,,
0.62,2.375,0.455,0.468,-3.063
0.63,2.370,,,
0.64,2.375,0.463,0.399,-3.758
0.65,2.375,,,
0.66,2.375,0.471,0.318,-4.432
0.67,2.375,,,
0.68,2.375,0.476,0.219,-4.955
0.69,2.370,,,
0.70,2.375,0.480,0.114,-5.155
0.71,2.375,,,
0.72,2.370,0.481,0.011,-5.202
0.73,2.375,,,
0.74,2.370,0.480,-0.096,-5.126
0.75,2.375,,,
0.76,2.375,0.477,-0.198,-4.844
0.77,2.370,,,
0.78,2.375,0.472,-0.291,-4.446
0.79,2.375,,,
0.80,2.375,0.465,-0.379,-3.882
0.81,2.375,,,
0.82,2.375,0.457,-0.449,-3.151
0.83,2.375,,,
0.84,2.370,0.447,-0.505,-2.369
0.85,2.375,,,
0.86,2.375,0.436,-0.546,-1.458
0.87,2.375,,,
0.88,2.375,0.425,-0.565,-0.448
0.89,2.375,,,
0.90,2.375,0.413,-0.565,0.590
0.91,2.375,,,
0.92,2.370,0.402,-0.542,1.637
0.93,2.375,,,
0.94,2.370,0.391,-0.496,2.518
0.95,2.375,,,
0.96,2.370,0.382,-0.439,3.297
0.97,2.375,,,
0.98,2.375,0.373,-0.365,4.066
0.99,2.375,,,
1.00,2.370,0.367,-0.274,4.702
1.01,2.375,,,
1.02,2.375,0.362,-0.174,5.165
1.03,2.375,,,
1.04,2.375,0.360,-0.063,5.356
1.05,2.370,,,
1.06,2.375,0.360,0.044,5.337
1.07,2.375,,,
1.08,2.370,0.362,0.151,5.208
1.09,2.370,,,
1.10,2.375,0.366,0.257,4.813
1.11,2.375,,,
1.12,1.012,0.372,0.346,4.264
1.13,2.370,,,
1.14,2.375,0.380,0.428,3.651
1.15,2.375,,,
1.16,2.375,0.390,0.495,2.863
1.17,2.370,,,
1.18,2.375,0.400,0.545,1.906
1.19,2.375,,,
1.20,2.370,0.412,0.575,0.762
1.21,2.375,,,
1.22,2.370,0.423,0.575,-0.366
1.23,2.370,,,
1.24,2.375,0.435,0.558,-1.390
1.25,2.375,,,
1.26,2.375,0.446,0.519,-2.344
1.27,2.380,,,
1.28,2.375,0.456,0.462,-3.134
1.29,2.375,,,
1.30,2.375,0.465,0.393,-3.860
1.31,2.375,,,
1.32,2.370,0.472,0.305,-4.443
1.33,2.375,,,
1.34,2.375,0.477,0.211,-4.815
1.35,2.375,,,
1.36,2.375,0.480,0.112,-5.113
1.37,2.375,,,
1.38,2.375,0.482,0.004,-5.233
1.39,2.375,,,
1.40,2.375,0.481,-0.102,-5.090
1.41,2.375,,,
1.42,2.375,0.478,-0.203,-4.768
1.43,2.370,,,
1.44,2.375,0.472,-0.293,-4.370
1.45,2.370,,,
1.46,2.375,0.466,-0.377,-3.930
1.47,2.370,,,
1.48,2.375,0.457,-0.455,-3.264
1.49,2.370,,,
1.50,2.370,0.447,-0.512,-2.390
1.51,2.375,,,
1.52,2.370,0.436,-0.551,-1.434
1.53,2.370,,,
1.54,2.375,0.425,-0.570,-0.412
1.55,2.375,,,
1.56,2.370,0.413,-0.566,0.543
1.57,2.375,,,
1.58,2.370,0.402,-0.549,1.503
1.59,2.375,,,
1.60,2.370,0.391,-0.507,2.503
1.61,2.375,,,
1.62,2.375,0.381,-0.447,3.425
1.63,2.375,,,
1.64,2.370,0.373,-0.369,4.259
1.65,2.375,,,
1.66,2.370,0.366,-0.272,4.839
1.67,2.370,,,
1.68,2.370,0.362,-0.172,5.204
1.69,2.375,,,
1.70,2.375,0.359,-0.063,5.453
1.71,2.375,,,
1.72,2.375,0.359,0.051,5.407
1.73,2.375,,,
1.74,2.375,0.361,0.156,5.188
1.75,2.375,,,
1.76,2.370,0.365,0.260,4.839
1.77,2.375,,,
1.78,1.006,0.372,0.354,4.272
1.79,2.370,,,
1.80,2.370,0.380,0.433,3.589
1.81,2.375,,,
1.82,2.375,0.390,0.498,2.798
1.83,2.370,,,
1.84,2.375,0.400,0.547,1.879
1.85,2.375,,,
1.86,2.370,0.412,0.577,0.769
1.87,2.375,,,
1.88,2.370,0.424,0.578,-0.379
1.89,2.375,,,
1.90,2.375,0.435,0.560,-1.441
1.91,2.370,,,
1.92,2.375,0.446,0.519,-2.424
1.93,2.375,,,
1.94,2.370,0.456,0.460,-3.248
1.95,2.370,,,
1.96,2.370,0.465,0.390,-4.037
1.97,2.375,,,
1.98,2.375,0.472,0.297,-4.666
1.99,2.370,,,
2.00,2.375,0.477,0.197,-4.983
2.01,2.370,,,
2.02,2.375,0.480,0.095,-5.151
2.03,2.375,,,
2.04,2.370,0.481,-0.009,-5.244
2.05,2.375,,,
2.06,2.375,0.480,-0.116,-5.239
2.07,2.375,,,
2.08,2.375,0.476,-0.224,-4.946
2.09,2.370,,,
2.10,2.375,0.470,-0.320,-4.307
2.11,2.370,,,
2.12,2.375,0.463,-0.397,-3.601
2.13,2.375,,,
2.14,2.370,0.454,-0.462,-2.943
2.15,2.375,,,
2.16,2.375,0.444,-0.516,-2.211
2.17,2.370,,,
2.18,2.375,0.434,-0.555,-1.280
2.19,2.370,,,
2.20,2.375,0.422,-0.570,-0.183
2.21,2.375,,,
2.22,2.375,0.410,-0.562,0.913
2.23,2.370,,,
2.24,2.370,0.399,-0.532,1.918
2.25,2.375,,,
2.26,2.375,0.389,-0.482,2.748
2.27,2.375,,,
2.28,2.375,0.380,-0.421,3.510
2.29,2.375,,,
2.30,2.370,0.372,-0.341,4.237
2.31,2.370,,,
2.32,2.375,0.366,-0.249,4.805
2.33,2.375,,,
2.34,2.370,0.362,-0.147,5.236
2.35,2.375,,,
2.36,2.375,0.360,-0.035,5.387
2.37,2.370,,,
2.38,2.375,0.360,0.073,5.279
2.39,2.370,,,
2.40,2.370,0.363,0.178,5.028
2.41,2.375,,,
2.42,2.370,0.367,0.277,4.592
2.43,2.375,,,
2.44,1.006,0.374,0.364,4.043
2.45,2.370,,,
2.46,2.375,0.382,0.439,3.427
2.47,2.370,,,
2.48,2.375,0.392,0.504,2.639
2.49,2.370,,,
2.50,2.375,0.403,0.548,1.646
2.51,2.375,,,
2.52,2.375,0.414,0.570,0.581
2.53,2.375,,,
2.54,2.375,0.426,0.574,-0.582
2.55,2.370,,,
2.56,2.375,0.437,0.547,-1.717
2.57,2.375,,,
2.58,2.375,0.448,0.501,-2.621
2.59,2.370,,,
2.60,2.375,0.458,0.439,-3.345
2.61,2.375,,,
2.62,2.370,0.466,0.364,-3.906
2.63,2.375,,,
2.64,2.375,0.472,0.282,-4.405
2.65,2.370,,,
2.66,2.375,0.477,0.187,-4.823
2.67,2.375,,,
2.68,2.375,0.480,0.085,-5.002
2.69,2.375,,,
2.70,2.370,0.481,-0.014,-5.071
2.71,2.375,,,
2.72,2.370,0.479,-0.119,-5.019
2.73,2.370,,,
2.74,2.375,0.476,-0.220,-4.703
2.75,2.370,,,
2.76,2.375,0.470,-0.311,-4.197
2.77,2.375,,,
2.78,2.375,0.463,-0.390,-3.577
2.79,2.370,,,
2.80,2.375,0.455,-0.453,-2.969
2.81,2.370,,,
2.82,2.375,0.445,-0.511,-2.215
2.83,2.370,,,
2.84,2.375,0.434,-0.546,-1.213
2.85,2.370,,,
2.86,2.370,0.423,-0.559,-0.189
2.87,2.375,,,
2.88,2.370,0.411,-0.553,0.813
2.89,2.375,,,
2.90,2.375,0.400,-0.525,1.714
2.91,2.370,,,
2.92,2.375,0.390,-0.484,2.589
2.93,2.370,,,
2.94,2.375,0.380,-0.422,3.485
2.95,2.375,,,
2.96,2.370,0.373,-0.343,4.254
2.97,2.375,,,
2.98,2.370,0.367,-0.249,4.822
2.99,2.375,,,
3.00,2.370,0.363,-0.146,5.134
3.01,2.370,,,
3.02,2.375,0.361,-0.040,5.228
3.03,2.370,,,
3.04,2.375,0.361,0.066,5.131
3.05,2.375,,,
3.06,2.375,0.363,0.166,4.951
3.07,2.375,,,
3.08,2.370,0.368,0.266,4.655
3.09,2.370,,,
