"Time","Potential","Position","Velocity","Acceleration"
0.01,2.370,,,
0.02,2.375,0.412,0.050,0.078
0.03,2.375,,,
0.04,2.375,0.413,0.052,0.072
0.05,2.375,,,
0.06,2.370,0.414,0.052,0.088
0.07,2.375,,,
0.08,2.370,0.415,0.054,0.170
0.09,0.758,,,
0.10,1.929,0.416,0.061,0.150
0.11,2.375,,,
0.12,2.375,0.418,0.062,0.037
0.13,2.375,,,
0.14,2.375,0.419,0.060,0.017
0.15,2.375,,,
0.16,2.375,0.420,0.064,-0.050
0.17,2.370,,,
0.18,2.370,0.421,0.059,-0.142
0.19,2.375,,,
0.20,2.375,0.422,0.056,-0.154
0.21,2.370,,,
0.22,2.375,0.424,0.053,-0.181
0.23,2.370,,,
0.24,2.375,0.425,0.049,-0.205
0.25,2.370,,,
0.26,2.370,0.426,0.046,-0.280
0.27,2.375,,,
0.28,2.370,0.427,0.037,-0.340
0.29,2.375,,,
0.30,2.375,0.427,0.031,-0.320
0.31,2.370,,,
0.32,2.375,0.428,0.027,-0.410
0.33,2.375,,,
0.34,2.370,0.428,0.014,-0.496
0.35,2.375,,,
0.36,2.370,0.428,0.004,-0.457
0.37,2.375,,,
0.38,2.375,0.428,-0.004,-0.408
0.39,2.370,,,
0.40,2.375,0.428,-0.012,-0.354
0.41,2.375,,,
0.42,2.375,0.428,-0.017,-0.363
0.43,2.375,,,
0.44,2.370,0.428,-0.027,-0.365
0.45,2.375,,,
0.46,2.370,0.427,-0.033,-0.278
0.47,2.375,,,
0.48,2.375,0.426,-0.035,-0.287
0.49,2.370,,,
0.50,2.375,0.425,-0.044,-0.331
0.51,2.375,,,
0.52,2.370,0.424,-0.051,-0.269
0.53,2.375,,,
0.54,2.370,0.423,-0.056,-0.171
0.55,2.375,,,
0.56,2.375,0.422,-0.058,-0.077
0.57,2.375,,,
0.58,2.375,0.421,-0.056,-0.077
0.59,2.370,,,
0.60,2.375,0.420,-0.061,-0.076
0.61,2.375,,,
0.62,2.370,0.418,-0.062,0.031
0.63,2.375,,,
0.64,2.370,0.417,-0.057,0.043
0.65,2.375,,,
0.66,2.375,0.416,-0.060,0.026
0.67,2.375,,,
0.68,2.375,0.415,-0.059,0.119
0.69,2.370,,,
0.70,2.375,0.414,-0.055,0.215
0.71,2.375,,,
0.72,2.375,0.413,-0.050,0.272
0.73,2.370,,,
0.74,2.375,0.412,-0.042,0.255
0.75,2.375,,,
0.76,2.370,0.411,-0.040,0.267
0.77,2.375,,,
0.78,2.375,0.410,-0.033,0.323
0.79,2.370,,,
0.80,2.375,0.410,-0.025,0.268
0.81,2.375,,,
0.82,2.370,0.409,-0.024,0.284
0.83,2.375,,,
0.84,2.375,0.409,-0.015,0.381
0.85,2.375,,,
0.86,2.375,0.409,-0.007,0.421
0.87,2.370,,,
0.88,2.375,0.408,0.001,0.468
0.89,2.375,,,
0.90,2.370,0.409,0.014,0.405
0.91,2.375,,,
0.92,2.370,0.409,0.018,0.312
0.93,2.375,,,
0.94,2.375,0.409,0.025,0.302
0.95,2.370,,,
0.96,2.375,0.410,0.030,0.320
0.97,2.370,,,
0.98,2.375,0.411,0.037,0.349
0.99,2.375,,,
1.00,2.370,0.412,0.047,0.249
1.01,2.375,,,
1.02,2.370,0.413,0.048,0.096
1.03,2.375,,,
1.04,2.375,0.413,0.048,0.056
1.05,2.375,,,
1.06,2.375,0.414,0.048,0.140
1.07,2.375,,,
1.08,2.370,0.415,0.054,0.227
1.09,0.763,,,
1.10,1.914,0.417,0.061,0.135
1.11,2.370,,,
1.12,2.380,0.418,0.059,0.011
1.13,2.375,,,
1.14,2.375,0.419,0.059,-0.036
1.15,2.370,,,
1.16,2.370,0.420,0.057,-0.051
1.17,2.375,,,
1.18,2.375,0.421,0.056,-0.032
1.19,2.375,,,
1.20,2.375,0.422,0.059,-0.121
1.21,2.375,,,
1.22,2.370,0.424,0.053,-0.258
1.23,2.370,,,
1.24,2.375,0.425,0.046,-0.298
1.25,2.370,,,
1.26,2.375,0.426,0.039,-0.270
1.27,2.370,,,
1.28,2.375,0.426,0.035,-0.222
1.29,2.375,,,
1.30,2.370,0.427,0.033,-0.285
1.31,2.375,,,
1.32,2.375,0.428,0.024,-0.396
1.33,2.370,,,
1.34,2.375,0.428,0.016,-0.454
1.35,2.370,,,
1.36,2.375,0.428,0.005,-0.455
1.37,2.375,,,
1.38,2.375,0.428,-0.003,-0.403
1.39,2.375,,,
1.40,2.370,0.428,-0.010,-0.370
1.41,2.375,,,
1.42,2.375,0.428,-0.018,-0.324
1.43,2.375,,,
1.44,2.375,0.427,-0.022,-0.317
1.45,2.370,,,
1.46,2.375,0.427,-0.031,-0.310
1.47,2.375,,,
1.48,2.375,0.426,-0.036,-0.249
1.49,2.375,,,
1.50,2.375,0.425,-0.039,-0.256
1.51,2.375,,,
1.52,2.375,0.424,-0.046,-0.259
1.53,2.375,,,
