"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.370,0.431,-0.043,-0.459
0.03,2.375,,,
0.04,2.380,0.431,-0.053,-0.427
0.05,2.375,,,
0.06,2.375,0.429,-0.061,-0.391
0.07,2.375,,,
0.08,2.375,0.428,-0.067,-0.414
0.09,2.370,,,
0.10,2.375,0.427,-0.077,-0.484
0.11,2.375,,,
0.12,2.370,0.425,-0.090,-0.422
0.13,2.375,,,
0.14,2.375,0.423,-0.096,-0.240
0.15,2.375,,,
0.16,2.370,0.421,-0.096,-0.151
0.17,2.375,,,
0.18,2.375,0.419,-0.102,-0.074
0.19,2.370,,,
0.20,2.375,0.417,-0.101,0.079
0.21,2.375,,,
0.22,2.375,0.415,-0.097,0.156
0.23,2.375,,,
0.24,2.375,0.413,-0.096,0.253
0.25,2.375,,,
0.26,2.375,0.411,-0.088,0.413
0.27,2.375,,,
0.28,2.375,0.410,-0.077,0.470
0.29,2.375,,,
0.30,2.380,0.408,-0.068,0.482
0.31,2.375,,,
0.32,2.375,0.407,-0.059,0.568
0.33,2.375,,,
0.34,2.375,0.406,-0.048,0.733
0.35,2.370,,,
0.36,2.375,0.405,-0.029,0.870
0.37,2.375,,,
0.38,2.375,0.405,-0.009,0.832
0.39,2.375,,,
0.40,2.370,0.405,0.004,0.771
0.41,2.375,,,
0.42,2.375,0.405,0.020,0.791
0.43,2.370,,,
0.44,2.375,0.405,0.038,0.735
0.45,2.370,,,
0.46,2.375,0.406,0.049,0.688
0.47,2.370,,,
0.48,2.370,0.407,0.064,0.682
0.49,2.375,,,
0.50,2.370,0.409,0.079,0.541
0.51,2.375,,,
0.52,2.375,0.411,0.085,0.411
0.53,2.370,,,
0.54,2.345,0.412,0.093,0.389
0.55,0.733,,,
0.56,2.370,0.414,0.102,0.339
0.57,2.370,,,
0.58,2.375,0.416,0.107,0.271
0.59,2.370,,,
0.60,2.375,0.419,0.115,0.102
0.61,2.375,,,
0.62,2.375,0.421,0.112,-0.105
0.63,2.370,,,
0.64,2.375,0.423,0.108,-0.211
0.65,2.375,,,
0.66,2.375,0.425,0.106,-0.398
0.67,2.375,,,
0.68,2.375,0.428,0.092,-0.578
0.69,2.375,,,
0.70,2.375,0.429,0.078,-0.594
0.71,2.370,,,
0.72,2.375,0.431,0.069,-0.649
0.73,2.370,,,
