"Time","Potential","Position","Velocity","Acceleration"
0.01,2.370,,,
0.02,2.375,0.420,-0.216,0.202
0.03,2.375,,,
0.04,2.370,0.416,-0.212,0.239
0.05,1.204,,,
0.06,2.370,0.412,-0.207,0.333
0.07,2.375,,,
0.08,2.375,0.408,-0.203,0.615
0.09,2.375,,,
0.10,2.375,0.404,-0.186,1.087
0.11,2.375,,,
0.12,2.370,0.400,-0.157,1.493
0.13,2.375,,,
0.14,2.375,0.397,-0.126,1.853
0.15,2.375,,,
0.16,2.375,0.395,-0.083,2.170
0.17,2.370,,,
0.18,2.370,0.394,-0.034,2.254
0.19,2.375,,,
0.20,2.370,0.394,0.008,2.253
0.21,2.375,,,
0.22,2.370,0.394,0.055,2.257
0.23,2.370,,,
0.24,2.375,0.396,0.103,2.057
0.25,2.370,,,
0.26,2.375,0.398,0.139,1.729
0.27,2.370,,,
0.28,2.375,0.401,0.171,1.369
0.29,2.375,,,
0.30,2.375,0.405,0.197,0.863
0.31,2.375,,,
0.32,2.370,0.410,0.207,0.302
0.33,2.375,,,
0.34,2.375,0.414,0.207,-0.200
0.35,2.370,,,
0.36,2.375,0.418,0.200,-0.739
0.37,2.370,,,
0.38,2.375,0.422,0.178,-1.255
0.39,2.375,,,
0.40,2.370,0.425,0.147,-1.631
0.41,2.375,,,
0.42,2.375,0.428,0.111,-1.905
0.43,2.375,,,
0.44,2.375,0.430,0.069,-2.086
0.45,2.370,,,
0.46,2.370,0.431,0.027,-2.230
0.47,2.375,,,
0.48,2.370,0.431,-0.022,-2.248
0.49,2.375,,,
0.50,2.370,0.430,-0.066,-2.095
0.51,2.375,,,
0.52,2.370,0.428,-0.104,-1.955
0.53,2.375,,,
0.54,2.370,0.426,-0.146,-1.703
0.55,2.370,,,
0.56,2.375,0.422,-0.177,-1.235
0.57,2.375,,,
0.58,2.370,0.418,-0.194,-0.777
0.59,2.375,,,
0.60,1.600,0.414,-0.209,-0.279
0.61,2.056,,,
0.62,2.375,0.410,-0.208,0.331
0.63,2.370,,,
0.64,2.375,0.406,-0.192,0.809
0.65,2.370,,,
0.66,2.375,0.402,-0.175,1.218
0.67,2.375,,,
0.68,2.370,0.399,-0.145,1.663
0.69,2.375,,,
0.70,2.375,0.396,-0.105,1.948
0.71,2.375,,,
0.72,2.375,0.394,-0.066,2.134
0.73,2.370,,,
0.74,2.375,0.393,-0.020,2.292
0.75,2.375,,,
0.76,2.370,0.394,0.028,2.325
0.77,2.375,,,
0.78,2.375,0.394,0.075,2.246
0.79,2.375,,,
0.80,2.375,0.397,0.122,1.963
0.81,2.375,,,
0.82,2.375,0.400,0.155,1.569
0.83,2.370,,,
0.84,2.370,0.403,0.184,1.142
0.85,2.370,,,
0.86,2.375,0.407,0.204,0.564
0.87,2.370,,,
0.88,2.370,0.411,0.206,0.031
0.89,2.375,,,
0.90,2.375,0.415,0.203,-0.403
0.91,2.370,,,
0.92,2.375,0.420,0.190,-0.851
0.93,2.370,,,
0.94,2.375,0.423,0.168,-1.259
0.95,2.375,,,
0.96,2.370,0.426,0.141,-1.686
0.97,2.375,,,
0.98,2.370,0.429,0.101,-2.098
0.99,2.375,,,
1.00,2.375,0.431,0.053,-2.313
1.01,2.370,,,
1.02,2.370,0.431,0.005,-2.330
1.03,2.375,,,
1.04,2.375,0.431,-0.043,-2.190
1.05,2.370,,,
1.06,2.370,0.429,-0.084,-1.943
1.07,2.375,,,
1.08,2.375,0.427,-0.119,-1.753
1.09,2.370,,,
1.10,2.375,0.425,-0.154,-1.550
