"Time","Position","Velocity","Acceleration","Potential"
0.01,,,,2.375
0.02,,,,2.375
0.03,,,,2.375
0.04,,,,2.375
0.05,,,,2.370
0.06,0.411,-0.131,1.158,2.370
0.07,,,,2.375
0.08,0.408,-0.112,1.435,2.370
0.09,,,,2.375
0.10,0.406,-0.081,1.813,2.375
0.11,,,,2.370
0.12,0.404,-0.037,2.081,2.375
0.13,,,,2.375
0.14,0.404,0.007,2.102,2.370
0.15,,,,2.375
0.16,0.405,0.047,2.071,2.370
0.17,,,,2.370
0.18,0.406,0.090,1.999,2.375
0.19,,,,2.370
0.20,0.408,0.131,1.728,2.375
0.21,,,,2.370
0.22,0.411,0.161,1.337,2.375
0.23,,,,2.375
0.24,0.415,0.182,1.005,2.375
0.25,,,,2.375
0.26,0.419,0.203,0.610,2.375
0.27,,,,2.375
0.28,0.423,0.211,0.038,2.375
0.29,,,,2.375
0.30,0.427,0.202,-0.451,2.375
0.31,,,,2.375
0.32,0.431,0.188,-0.750,2.370
0.33,,,,2.375
0.34,0.435,0.174,-1.122,2.370
0.35,,,,2.375
0.36,0.439,0.146,-1.585,2.375
0.37,,,,2.375
0.38,0.441,0.107,-1.854,2.375
0.39,,,,2.370
0.40,0.443,0.068,-1.952,2.375
0.41,,,,2.375
0.42,0.444,0.030,-2.084,2.375
0.43,,,,2.375
0.44,0.444,-0.015,-2.192,2.370
0.45,,,,2.375
0.46,0.443,-0.062,-2.072,2.370
0.47,,,,1.356
0.48,0.441,-0.100,-1.834,2.198
0.49,,,,2.375
0.50,0.439,-0.134,-1.634,2.370
0.51,,,,2.370
0.52,0.436,-0.167,-1.339,2.375
0.53,,,,2.375
0.54,0.432,-0.191,-0.888,2.375
0.55,,,,2.375
0.56,0.428,-0.203,-0.381,2.375
0.57,,,,2.370
0.58,0.424,-0.204,0.048,2.375
0.59,,,,2.370
0.60,0.420,-0.200,0.416,2.375
0.61,,,,2.375
0.62,0.416,-0.189,0.863,2.370
0.63,,,,2.375
0.64,0.412,-0.164,1.249,2.375
0.65,,,,2.375
0.66,0.409,-0.136,1.504,2.375
0.67,,,,2.375
0.68,0.407,-0.105,1.787,2.375
0.69,,,,2.370
0.70,0.405,-0.066,2.069,2.375
0.71,,,,2.375
0.72,0.404,-0.019,2.180,2.370
0.73,,,,2.375
0.74,0.404,0.026,2.089,2.375
0.75,,,,2.370
0.76,0.405,0.064,1.969,2.375
0.77,,,,2.370
0.78,0.407,0.103,1.875,2.375
0.79,,,,2.375
0.80,0.409,0.142,1.631,2.370
0.81,,,,2.375
0.82,0.413,0.172,1.208,2.375
0.83,,,,2.375
0.84,0.416,0.190,0.791,2.375
0.85,,,,2.370
0.86,0.420,0.202,0.417,2.375
0.87,,,,2.370
0.88,0.424,0.209,-0.060,2.375
0.89,,,,2.375
0.90,0.429,0.201,-0.572,2.375
0.91,,,,2.375
