"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.370,0.387,-0.714,3.267
0.03,2.375,,,
0.04,2.370,0.372,-0.659,4.002
0.05,2.375,,,
0.06,2.375,0.359,-0.574,5.069
0.07,2.370,,,
0.08,2.375,0.348,-0.460,6.267
0.09,2.370,,,
0.10,2.375,0.340,-0.316,7.207
0.11,2.375,,,
0.12,2.370,0.336,-0.162,7.636
0.13,2.375,,,
0.14,2.253,0.334,-0.007,7.778
0.15,1.194,,,
0.16,2.375,0.335,0.152,7.681
0.17,2.370,,,
0.18,2.375,0.340,0.308,7.146
0.19,2.375,,,
0.20,2.375,0.348,0.443,6.315
0.21,2.375,,,
0.22,2.370,0.358,0.561,5.377
0.23,2.370,,,
0.24,2.370,0.371,0.661,4.252
0.25,2.370,,,
0.26,2.370,0.385,0.733,2.999
0.27,2.375,,,
0.28,2.375,0.400,0.782,1.674
0.29,2.375,,,
0.30,2.375,0.417,0.805,0.128
0.31,2.375,,,
0.32,2.370,0.433,0.789,-1.530
0.33,2.370,,,
0.34,2.370,0.449,0.739,-2.990
0.35,2.370,,,
0.36,2.375,0.463,0.667,-4.282
0.37,2.370,,,
0.38,2.375,0.476,0.566,-5.395
0.39,2.375,,,
0.40,2.375,0.486,0.447,-6.254
0.41,2.370,,,
0.42,2.370,0.494,0.311,-6.832
0.43,2.375,,,
0.44,2.370,0.498,0.169,-7.142
0.45,2.375,,,
0.46,2.375,0.501,0.024,-7.333
0.47,2.375,,,
0.48,2.375,0.499,-0.129,-7.212
0.49,2.375,,,
0.50,2.370,0.495,-0.271,-6.759
0.51,2.375,,,
0.52,2.375,0.488,-0.400,-6.185
0.53,2.370,,,
0.54,2.375,0.479,-0.520,-5.431
0.55,2.370,,,
0.56,2.375,0.467,-0.623,-4.396
0.57,2.370,,,
0.58,2.375,0.454,-0.698,-3.249
0.59,2.375,,,
0.60,2.370,0.439,-0.752,-2.085
0.61,2.375,,,
0.62,2.375,0.423,-0.786,-0.670
0.63,2.370,,,
0.64,2.375,0.407,-0.783,0.930
0.65,2.370,,,
0.66,2.370,0.392,-0.747,2.462
0.67,2.375,,,
0.68,2.370,0.377,-0.682,3.845
0.69,2.375,,,
0.70,2.370,0.364,-0.589,4.964
0.71,2.375,,,
0.72,2.375,0.353,-0.481,5.911
0.73,2.370,,,
0.74,2.375,0.344,-0.352,6.769
0.75,2.375,,,
0.76,2.370,0.339,-0.206,7.388
0.77,2.375,,,
0.78,2.243,0.336,-0.051,7.709
0.79,1.225,,,
0.80,2.370,0.337,0.108,7.666
0.81,2.375,,,
0.82,2.375,0.340,0.261,7.261
0.83,2.370,,,
0.84,2.375,0.347,0.401,6.654
0.85,2.375,,,
0.86,2.370,0.357,0.531,5.836
0.87,2.375,,,
0.88,2.370,0.369,0.640,4.712
0.89,2.375,,,
0.90,2.375,0.383,0.721,3.423
0.91,2.375,,,
0.92,2.370,0.398,0.780,1.943
0.93,2.375,,,
0.94,2.370,0.414,0.801,0.329
0.95,2.375,,,
0.96,2.370,0.431,0.792,-1.237
0.97,2.370,,,
0.98,2.370,0.447,0.752,-2.749
0.99,2.375,,,
1.00,2.375,0.461,0.678,-4.023
1.01,2.370,,,
1.02,2.375,0.474,0.586,-5.040
1.03,2.370,,,
1.04,2.375,0.485,0.475,-5.900
1.05,2.375,,,
1.06,2.370,0.493,0.345,-6.513
1.07,2.380,,,
1.08,2.375,0.499,0.212,-7.010
1.09,2.375,,,
1.10,2.375,0.502,0.068,-7.521
1.11,2.370,,,
1.12,2.370,0.502,-0.096,-7.609
1.13,2.375,,,
