"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.370,0.401,-0.011,0.590
0.03,2.370,,,
0.04,2.370,0.400,-0.003,0.795
0.05,2.370,,,
0.06,2.375,0.400,0.017,1.026
0.07,2.370,,,
0.08,2.375,0.401,0.042,1.111
0.09,2.375,,,
0.10,2.370,0.402,0.063,1.090
0.11,2.375,,,
0.12,2.375,0.403,0.086,1.016
0.13,2.370,,,
0.14,2.375,0.405,0.106,0.841
0.15,2.370,,,
0.16,2.370,0.408,0.118,0.697
0.17,2.375,,,
0.18,2.370,0.410,0.132,0.605
0.19,2.370,,,
0.20,0.728,0.413,0.145,0.397
0.21,2.375,,,
0.22,2.375,0.416,0.150,0.124
0.23,2.370,,,
0.24,2.375,0.419,0.148,-0.052
0.25,2.370,,,
0.26,2.375,0.422,0.146,-0.185
0.27,2.375,,,
0.28,2.375,0.425,0.142,-0.398
0.29,2.375,,,
0.30,2.370,0.428,0.131,-0.640
0.31,2.375,,,
0.32,2.370,0.430,0.115,-0.788
0.33,2.375,,,
0.34,2.375,0.432,0.098,-0.867
0.35,2.375,,,
0.36,2.375,0.434,0.082,-1.035
0.37,2.375,,,
0.38,2.370,0.436,0.057,-1.207
0.39,2.375,,,
0.40,2.370,0.437,0.031,-1.247
0.41,2.375,,,
0.42,2.375,0.437,0.006,-1.218
0.43,2.370,,,
0.44,2.375,0.437,-0.018,-1.140
0.45,2.375,,,
0.46,2.370,0.436,-0.038,-1.119
0.47,2.375,,,
0.48,2.370,0.435,-0.063,-1.099
0.49,2.375,,,
0.50,2.375,0.434,-0.085,-0.960
0.51,2.375,,,
0.52,2.375,0.432,-0.100,-0.856
0.53,2.370,,,
0.54,2.375,0.430,-0.119,-0.720
0.55,2.375,,,
0.56,2.370,0.427,-0.132,-0.469
0.57,2.375,,,
0.58,2.370,0.424,-0.136,-0.316
0.59,2.375,,,
0.60,2.375,0.422,-0.142,-0.261
0.61,2.370,,,
0.62,2.370,0.419,-0.149,-0.102
0.63,2.375,,,
0.64,2.375,0.416,-0.148,0.155
0.65,2.375,,,
0.66,2.375,0.413,-0.142,0.409
0.67,2.375,,,
0.68,2.370,0.410,-0.131,0.641
0.69,2.375,,,
0.70,2.375,0.407,-0.114,0.751
0.71,2.370,,,
0.72,2.375,0.405,-0.101,0.841
0.73,2.375,,,
0.74,2.375,0.403,-0.082,0.998
0.75,2.375,,,
0.76,2.370,0.402,-0.060,1.119
0.77,2.370,,,
0.78,2.370,0.401,-0.037,1.224
0.79,2.375,,,
0.80,2.375,0.400,-0.010,1.274
0.81,2.370,,,
0.82,2.375,0.400,0.015,1.268
0.83,2.375,,,
0.84,2.370,0.401,0.041,1.193
0.85,2.375,,,
0.86,2.375,0.402,0.064,1.032
0.87,2.375,,,
0.88,2.375,0.404,0.081,0.919
0.89,2.370,,,
0.90,2.375,0.405,0.100,0.866
0.91,2.375,,,
0.92,2.375,0.408,0.119,0.693
0.93,2.375,,,
0.94,2.370,0.410,0.128,0.498
0.95,2.375,,,
0.96,0.885,0.413,0.136,0.399
0.97,2.309,,,
0.98,2.370,0.416,0.145,0.237
0.99,2.370,,,
1.00,2.375,0.419,0.147,0.028
1.01,2.370,,,
1.02,2.375,0.422,0.147,-0.201
1.03,2.375,,,
1.04,2.375,0.425,0.138,-0.397
1.05,2.375,,,
1.06,2.375,0.427,0.128,-0.485
1.07,2.370,,,
1.08,2.375,0.430,0.121,-0.675
1.09,2.370,,,
1.10,2.375,0.432,0.104,-0.969
1.11,2.375,,,
1.12,2.370,0.434,0.078,-1.087
1.13,2.375,,,
1.14,2.375,0.435,0.058,-1.092
1.15,2.375,,,
1.16,2.375,0.436,0.036,-1.145
1.17,2.370,,,
1.18,2.375,0.437,0.011,-1.159
1.19,2.370,,,
1.20,2.375,0.437,-0.009,-1.209
1.21,2.375,,,
1.22,2.375,0.436,-0.038,-1.202
1.23,2.375,,,
1.24,2.370,0.435,-0.061,-1.022
1.25,2.375,,,
1.26,2.375,0.434,-0.076,-0.932
1.27,2.375,,,
1.28,2.375,0.432,-0.097,-0.888
1.29,2.375,,,
1.30,2.370,0.430,-0.115,-0.719
1.31,2.375,,,
1.32,2.370,0.427,-0.125,-0.586
1.33,2.375,,,
1.34,2.370,0.425,-0.138,-0.471
1.35,2.370,,,
1.36,2.375,0.422,-0.146,-0.259
1.37,2.370,,,
1.38,2.375,0.419,-0.149,-0.006
1.39,2.375,,,
1.40,2.370,0.416,-0.146,0.237
1.41,2.375,,,
1.42,2.375,0.413,-0.137,0.353
1.43,2.375,,,
1.44,2.370,0.410,-0.132,0.459
1.45,2.375,,,
1.46,2.375,0.408,-0.121,0.674
1.47,2.375,,,
1.48,2.370,0.406,-0.105,0.909
1.49,2.375,,,
1.50,2.375,0.403,-0.084,1.112
1.51,2.375,,,
1.52,2.375,0.402,-0.057,1.155
1.53,2.370,,,
1.54,2.370,0.401,-0.036,1.099
1.55,2.370,,,
1.56,2.370,0.401,-0.016,1.135
1.57,2.375,,,
1.58,2.375,0.400,0.009,1.179
1.59,2.375,,,
