"Time","Potential","Position","Velocity","Acceleration"
0.01,2.370,,,
0.02,2.375,0.428,-0.006,-0.316
0.03,2.375,,,
0.04,2.370,0.428,-0.011,-0.341
0.05,2.370,,,
0.06,2.370,0.428,-0.020,-0.341
0.07,2.375,,,
0.08,2.375,0.427,-0.026,-0.309
0.09,2.370,,,
0.10,2.375,0.427,-0.030,-0.358
0.11,2.370,,,
0.12,2.375,0.426,-0.041,-0.377
0.13,2.375,,,
0.14,2.375,0.425,-0.048,-0.303
0.15,2.370,,,
0.16,2.375,0.424,-0.051,-0.306
0.17,2.375,,,
0.18,2.375,0.423,-0.060,-0.300
0.19,2.375,,,
0.20,2.375,0.422,-0.065,-0.220
0.21,2.370,,,
0.22,2.375,0.421,-0.069,-0.137
0.23,2.375,,,
0.24,2.370,0.419,-0.070,-0.050
0.25,2.375,,,
0.26,2.375,0.418,-0.069,-0.044
0.27,2.375,,,
0.28,2.375,0.417,-0.073,0.001
0.29,2.375,,,
0.30,2.375,0.415,-0.071,0.138
0.31,2.375,,,
0.32,2.370,0.414,-0.064,0.164
0.33,2.370,,,
0.34,2.370,0.412,-0.064,0.188
0.35,2.375,,,
0.36,2.375,0.411,-0.060,0.335
0.37,2.370,,,
0.38,2.375,0.410,-0.049,0.381
0.39,2.375,,,
0.40,2.375,0.409,-0.043,0.372
0.41,2.375,,,
0.42,2.375,0.408,-0.036,0.445
0.43,2.375,,,
0.44,2.370,0.408,-0.026,0.541
0.45,2.370,,,
0.46,2.380,0.407,-0.015,0.653
0.47,2.375,,,
0.48,2.375,0.407,0.003,0.645
0.49,2.375,,,
0.50,2.375,0.407,0.012,0.570
0.51,2.375,,,
0.52,2.370,0.407,0.023,0.569
0.53,2.375,,,
0.54,2.370,0.408,0.038,0.478
0.55,2.375,,,
0.56,2.375,0.409,0.042,0.406
0.57,2.370,,,
0.58,2.370,0.410,0.051,0.439
0.59,2.375,,,
0.60,2.375,0.411,0.062,0.375
0.61,2.375,,,
0.62,2.375,0.412,0.067,0.285
0.63,2.375,,,
0.64,2.370,0.414,0.072,0.229
0.65,2.360,,,
0.66,0.327,0.415,0.075,0.198
0.67,2.365,,,
0.68,2.375,0.417,0.081,0.159
0.69,2.370,,,
0.70,2.375,0.419,0.083,0.075
0.71,2.370,,,
0.72,2.370,0.420,0.083,0.015
0.73,2.375,,,
0.74,2.370,0.422,0.085,-0.119
0.75,2.375,,,
0.76,2.375,0.424,0.078,-0.255
0.77,2.375,,,
0.78,2.375,0.425,0.072,-0.297
0.79,2.375,,,
0.80,2.370,0.426,0.068,-0.417
0.81,2.375,,,
0.82,2.370,0.428,0.056,-0.528
0.83,2.375,,,
0.84,2.370,0.429,0.045,-0.546
0.85,2.370,,,
0.86,2.375,0.430,0.033,-0.536
0.87,2.370,,,
0.88,2.375,0.430,0.023,-0.498
0.89,2.375,,,
0.90,2.370,0.431,0.015,-0.541
0.91,2.375,,,
0.92,2.375,0.431,0.003,-0.643
0.93,2.370,,,
0.94,2.375,0.431,-0.013,-0.625
0.95,2.370,,,
0.96,2.375,0.430,-0.024,-0.517
0.97,2.375,,,
0.98,2.370,0.430,-0.031,-0.507
0.99,2.375,,,
1.00,2.370,0.429,-0.044,-0.499
1.01,2.375,,,
1.02,2.375,0.428,-0.053,-0.413
1.03,2.375,,,
1.04,2.375,0.427,-0.061,-0.320
1.05,2.375,,,
1.06,2.370,0.425,-0.066,-0.222
1.07,2.375,,,
1.08,2.375,0.424,-0.070,-0.127
1.09,2.375,,,
1.10,2.370,0.422,-0.070,-0.075
1.11,2.375,,,
1.12,2.370,0.421,-0.070,-0.119
1.13,2.370,,,
1.14,2.375,0.420,-0.077,-0.057
1.15,2.370,,,
1.16,2.375,0.418,-0.076,0.133
1.17,2.375,,,
1.18,2.375,0.417,-0.068,0.180
1.19,2.375,,,
1.20,2.375,0.415,-0.067,0.174
1.21,2.370,,,
1.22,2.375,0.414,-0.063,0.232
1.23,2.370,,,
1.24,2.375,0.413,-0.058,0.299
1.25,2.370,,,
1.26,2.375,0.412,-0.052,0.383
1.27,2.375,,,
1.28,2.375,0.411,-0.041,0.381
1.29,2.375,,,
1.30,2.375,0.410,-0.036,0.376
1.31,2.370,,,
1.32,2.375,0.409,-0.028,0.454
1.33,2.375,,,
1.34,2.375,0.409,-0.016,0.432
1.35,2.375,,,
1.36,2.375,0.409,-0.010,0.375
1.37,2.370,,,
1.38,2.375,0.408,-0.003,0.401
1.39,2.370,,,
1.40,2.375,0.409,0.006,0.435
1.41,2.375,,,
1.42,2.375,0.409,0.015,0.449
1.43,2.375,,,
1.44,2.370,0.409,0.025,0.407
1.45,2.370,,,
1.46,2.380,0.410,0.031,0.357
1.47,2.375,,,
1.48,2.375,0.410,0.040,0.297
1.49,2.370,,,
1.50,2.375,0.411,0.043,0.253
1.51,2.370,,,
1.52,2.370,0.412,0.048,0.266
1.53,2.375,,,
1.54,2.370,0.413,0.056,0.166
1.55,2.370,,,
1.56,2.370,0.415,0.054,0.081
1.57,2.370,,,
1.58,2.370,0.415,0.057,0.089
1.59,2.370,,,
1.60,0.571,0.417,0.059,0.061
1.61,2.213,,,
1.62,2.370,0.418,0.059,0.046
1.63,2.375,,,
1.64,2.370,0.419,0.060,0.046
1.65,2.370,,,
1.66,2.370,0.420,0.061,0.037
1.67,2.375,,,
1.68,2.375,0.422,0.064,-0.063
1.69,2.370,,,
1.70,2.375,0.423,0.059,-0.167
1.71,2.375,,,
1.72,2.375,0.424,0.055,-0.178
1.73,2.375,,,
