"Time","Potential","Position","Velocity","Acceleration"
0.01,2.370,,,
0.02,2.375,0.389,-0.541,2.720
0.03,2.360,,,
0.04,1.078,0.378,-0.494,3.313
0.05,2.375,,,
0.06,2.370,0.368,-0.425,4.201
0.07,2.375,,,
0.08,2.370,0.360,-0.330,5.229
0.09,2.375,,,
0.10,2.370,0.355,-0.208,5.962
0.11,2.375,,,
0.12,2.375,0.352,-0.082,6.207
0.13,2.375,,,
0.14,2.370,0.351,0.042,6.243
0.15,2.375,,,
0.16,2.370,0.353,0.170,6.091
0.17,2.375,,,
0.18,2.375,0.358,0.293,5.577
0.19,2.370,,,
0.20,2.375,0.365,0.396,4.872
0.21,2.375,,,
0.22,2.375,0.374,0.488,4.054
0.23,2.375,,,
0.24,2.370,0.385,0.563,2.975
0.25,2.375,,,
0.26,2.370,0.397,0.609,1.779
0.27,2.375,,,
0.28,2.375,0.410,0.634,0.545
0.29,2.370,,,
0.30,2.375,0.423,0.636,-0.918
0.31,2.375,,,
0.32,2.370,0.436,0.598,-2.390
0.33,2.375,,,
0.34,2.370,0.447,0.533,-3.491
0.35,2.375,,,
0.36,2.375,0.458,0.453,-4.310
0.37,2.375,,,
0.38,2.375,0.466,0.359,-5.007
0.39,2.370,,,
0.40,2.375,0.472,0.253,-5.647
0.41,2.375,,,
0.42,2.370,0.476,0.129,-6.034
0.43,2.375,,,
0.44,2.370,0.477,0.005,-6.070
0.45,2.375,,,
0.46,2.375,0.476,-0.115,-5.969
0.47,2.370,,,
0.48,2.375,0.473,-0.238,-5.573
0.49,2.375,,,
0.50,2.375,0.467,-0.346,-4.755
0.51,2.375,,,
0.52,2.370,0.459,-0.432,-3.759
0.53,2.375,,,
0.54,2.370,0.449,-0.497,-2.807
0.55,2.375,,,
0.56,2.370,0.438,-0.529,-2.518
0.57,2.370,,,
0.58,2.375,0.428,-0.584,-2.674
0.59,2.375,,,
0.60,2.370,0.415,-0.671,-1.223
0.61,2.375,,,
0.62,2.370,0.400,-0.662,1.551
0.63,2.375,,,
0.64,2.370,0.388,-0.584,3.329
0.65,1.417,,,
0.66,2.096,0.377,-0.509,4.153
0.67,2.375,,,
0.68,2.375,0.367,-0.419,4.847
0.69,2.375,,,
0.70,2.370,0.360,-0.316,5.486
0.71,2.375,,,
0.72,2.375,0.354,-0.198,6.030
0.73,2.375,,,
0.74,2.375,0.352,-0.070,6.315
0.75,2.370,,,
0.76,2.370,0.351,0.059,6.327
0.77,2.375,,,
0.78,2.375,0.354,0.188,6.047
0.79,2.370,,,
0.80,2.370,0.359,0.304,5.541
0.81,2.370,,,
0.82,2.370,0.366,0.411,4.916
0.83,2.375,,,
0.84,2.375,0.376,0.504,4.072
0.85,2.370,,,
0.86,2.375,0.387,0.576,3.037
0.87,2.375,,,
0.88,2.375,0.399,0.631,1.685
0.89,2.375,,,
0.90,2.370,0.412,0.654,-0.123
0.91,2.375,,,
0.92,2.375,0.426,0.621,-1.683
