"Time","Potential","Position","Velocity","Acceleration"
0.01,2.375,,,
0.02,2.370,0.431,-0.049,-0.412
0.03,2.375,,,
0.04,2.370,0.431,-0.057,-0.431
0.05,2.375,,,
0.06,2.375,0.429,-0.066,-0.443
0.07,2.370,,,
0.08,2.375,0.428,-0.076,-0.398
0.09,2.370,,,
0.10,2.370,0.426,-0.084,-0.290
0.11,2.375,,,
0.12,2.370,0.424,-0.086,-0.245
0.13,2.375,,,
0.14,2.370,0.423,-0.092,-0.261
0.15,2.375,,,
0.16,2.375,0.421,-0.099,-0.200
0.17,2.370,,,
0.18,2.375,0.419,-0.102,-0.040
0.19,2.375,,,
0.20,2.375,0.417,-0.099,0.085
0.21,2.370,,,
0.22,2.370,0.415,-0.098,0.188
0.23,2.370,,,
0.24,2.375,0.413,-0.093,0.340
0.25,2.370,,,
0.26,2.375,0.411,-0.082,0.407
0.27,2.375,,,
0.28,2.370,0.410,-0.077,0.468
0.29,2.375,,,
0.30,2.370,0.408,-0.066,0.612
0.31,2.375,,,
0.32,2.375,0.407,-0.050,0.657
0.33,2.375,,,
0.34,2.370,0.406,-0.039,0.676
0.35,2.370,,,
0.36,2.375,0.405,-0.025,0.773
0.37,2.370,,,
0.38,2.375,0.405,-0.006,0.768
0.39,2.375,,,
0.40,2.370,0.405,0.006,0.745
0.41,2.375,,,
0.42,2.375,0.405,0.022,0.776
0.43,2.375,,,
0.44,2.375,0.406,0.039,0.742
0.45,2.370,,,
0.46,2.375,0.407,0.053,0.652
0.47,2.370,,,
0.48,2.370,0.408,0.066,0.501
0.49,2.375,,,
0.50,2.370,0.409,0.071,0.461
0.51,2.375,,,
0.52,2.375,0.411,0.082,0.527
0.53,2.370,,,
0.54,2.375,0.413,0.096,0.415
0.55,2.370,,,
0.56,1.726,0.415,0.102,0.149
0.57,1.326,,,
0.58,2.370,0.417,0.100,-0.058
0.59,2.375,,,
0.60,2.375,0.419,0.097,-0.127
0.61,2.375,,,
0.62,2.375,0.421,0.093,-0.097
0.63,2.370,,,
0.64,2.375,0.422,0.093,-0.085
0.65,2.375,,,
0.66,2.370,0.424,0.094,-0.256
0.67,2.375,,,
0.68,2.370,0.426,0.083,-0.435
0.69,2.375,,,
0.70,2.375,0.428,0.074,-0.498
0.71,2.370,,,
0.72,2.375,0.429,0.065,-0.613
0.73,2.370,,,
0.74,2.375,0.430,0.049,-0.695
0.75,2.370,,,
0.76,2.375,0.431,0.035,-0.700
0.77,2.375,,,
0.78,2.370,0.432,0.021,-0.703
0.79,2.375,,,
0.80,2.375,0.432,0.007,-0.685
0.81,2.375,,,
0.82,2.370,0.432,-0.005,-0.739
0.83,2.370,,,
0.84,2.370,0.432,-0.022,-0.817
0.85,2.375,,,
0.86,2.375,0.431,-0.041,-0.760
0.87,2.375,,,
0.88,2.375,0.430,-0.054,-0.641
0.89,2.370,,,
0.90,2.375,0.429,-0.066,-0.543
0.91,2.370,,,
0.92,2.370,0.427,-0.076,-0.409
0.93,2.370,,,
0.94,2.375,0.426,-0.080,-0.364
0.95,2.375,,,
0.96,2.370,0.424,-0.090,-0.356
0.97,2.370,,,
0.98,2.375,0.422,-0.098,-0.166
0.99,2.370,,,
1.00,2.375,0.420,-0.096,-0.008
1.01,2.370,,,
1.02,2.375,0.419,-0.096,0.046
1.03,2.375,,,
1.04,2.370,0.416,-0.095,0.149
1.05,2.370,,,
1.06,2.375,0.415,-0.089,0.192
1.07,2.375,,,
1.08,2.370,0.413,-0.088,0.233
1.09,2.375,,,
1.10,2.375,0.411,-0.081,0.349
1.11,2.370,,,
1.12,2.375,0.410,-0.073,0.455
1.13,2.375,,,
1.14,2.370,0.408,-0.063,0.571
1.15,2.370,,,
1.16,2.375,0.407,-0.049,0.637
1.17,2.375,,,
1.18,2.375,0.406,-0.038,0.684
1.19,2.375,,,
1.20,2.375,0.405,-0.022,0.721
1.21,2.370,,,
1.22,2.375,0.405,-0.008,0.734
1.23,2.370,,,
1.24,2.375,0.405,0.006,0.774
1.25,2.370,,,
1.26,2.370,0.406,0.025,0.700
1.27,2.370,,,
1.28,2.375,0.406,0.035,0.585
1.29,2.370,,,
1.30,2.375,0.407,0.046,0.567
1.31,2.370,,,
1.32,2.375,0.408,0.058,0.572
1.33,2.375,,,
1.34,2.370,0.409,0.069,0.564
1.35,2.375,,,
1.36,2.370,0.411,0.083,0.418
1.37,2.375,,,
1.38,2.375,0.413,0.086,0.257
1.39,2.375,,,
1.40,2.218,0.414,0.091,0.202
1.41,0.824,,,
1.42,2.375,0.416,0.096,0.078
1.43,2.375,,,
1.44,2.375,0.418,0.094,-0.027
1.45,2.375,,,
1.46,2.375,0.420,0.094,-0.075
1.47,2.370,,,
1.48,2.375,0.422,0.091,-0.137
1.49,2.370,,,
1.50,2.375,0.424,0.088,-0.212
1.51,2.375,,,
1.52,2.375,0.426,0.085,-0.380
1.53,2.375,,,
1.54,2.375,0.427,0.073,-0.529
1.55,2.370,,,
1.56,2.375,0.428,0.062,-0.591
1.57,2.370,,,
1.58,2.375,0.430,0.049,-0.630
1.59,2.375,,,
1.60,2.370,0.430,0.036,-0.647
1.61,2.375,,,
1.62,2.375,0.431,0.023,-0.662
1.63,2.370,,,
1.64,2.375,0.431,0.009,-0.652
1.65,2.370,,,
1.66,2.375,0.431,-0.001,-0.712
1.67,2.370,,,
1.68,2.375,0.431,-0.020,-0.752
1.69,2.375,,,
