"Time","Potential","Position","Velocity","Acceleration"
0.01,1.047,,,
0.02,2.289,0.407,0.265,-0.048
0.03,2.370,,,
0.04,2.375,0.412,0.265,-0.090
0.05,2.370,,,
0.06,2.375,0.418,0.262,-0.158
0.07,2.375,,,
0.08,2.370,0.423,0.261,-0.337
0.09,2.375,,,
0.10,2.370,0.428,0.252,-0.688
0.11,2.375,,,
0.12,2.375,0.433,0.233,-1.057
0.13,2.375,,,
0.14,2.375,0.437,0.210,-1.440
0.15,2.375,,,
0.16,2.375,0.441,0.176,-1.834
0.17,2.375,,,
0.18,2.375,0.445,0.134,-2.115
0.19,2.370,,,
0.20,2.375,0.447,0.089,-2.251
0.21,2.370,,,
0.22,2.375,0.448,0.043,-2.294
0.23,2.375,,,
0.24,2.370,0.449,-0.004,-2.258
0.25,2.375,,,
0.26,2.370,0.448,-0.048,-2.207
0.27,2.375,,,
0.28,2.370,0.447,-0.091,-2.206
0.29,2.375,,,
0.30,2.375,0.444,-0.138,-2.077
0.31,2.370,,,
0.32,2.375,0.441,-0.178,-1.774
0.33,2.375,,,
0.34,2.370,0.437,-0.210,-1.417
0.35,2.375,,,
0.36,2.375,0.432,-0.235,-1.013
0.37,2.375,,,
0.38,2.375,0.428,-0.250,-0.647
0.39,2.375,,,
0.40,2.370,0.422,-0.259,-0.346
0.41,2.370,,,
0.42,2.375,0.417,-0.265,0.033
0.43,2.375,,,
0.44,2.375,0.412,-0.260,0.501
0.45,2.375,,,
0.46,2.375,0.407,-0.244,0.927
0.47,2.370,,,
0.48,2.375,0.402,-0.222,1.313
0.49,2.370,,,
0.50,2.375,0.398,-0.190,1.638
0.51,2.375,,,
0.52,2.370,0.394,-0.156,1.930
0.53,2.375,,,
0.54,2.375,0.391,-0.114,2.223
0.55,2.375,,,
0.56,2.370,0.389,-0.064,2.342
0.57,2.375,,,
0.58,2.375,0.389,-0.017,2.310
0.59,2.370,,,
0.60,2.375,0.389,0.027,2.313
0.61,2.375,,,
0.62,2.370,0.390,0.076,2.261
0.63,2.375,,,
0.64,2.370,0.392,0.120,2.098
0.65,2.375,,,
0.66,2.375,0.395,0.160,1.919
0.67,2.370,,,
0.68,2.375,0.398,0.199,1.612
0.69,2.370,,,
0.70,2.345,0.403,0.225,1.259
0.71,0.946,,,
0.72,2.375,0.407,0.248,0.936
0.73,2.375,,,
0.74,2.375,0.413,0.263,0.559
0.75,2.370,,,
0.76,2.375,0.418,0.271,0.173
0.77,2.370,,,
0.78,2.375,0.424,0.272,-0.307
0.79,2.375,,,
0.80,2.370,0.429,0.260,-0.856
0.81,2.375,,,
0.82,2.370,0.434,0.236,-1.301
0.83,2.375,,,
0.84,2.370,0.439,0.206,-1.638
0.85,2.375,,,
0.86,2.375,0.443,0.169,-1.897
0.87,2.370,,,
0.88,2.375,0.445,0.128,-2.048
0.89,2.370,,,
0.90,2.375,0.448,0.088,-2.208
0.91,2.375,,,
0.92,2.370,0.449,0.041,-2.397
0.93,2.375,,,
0.94,2.375,0.449,-0.011,-2.444
0.95,2.375,,,
0.96,2.375,0.449,-0.059,-2.367
0.97,2.370,,,
0.98,2.375,0.447,-0.107,-2.209
0.99,2.375,,,
1.00,2.370,0.444,-0.149,-1.962
1.01,2.375,,,
1.02,2.375,0.441,-0.185,-1.698
1.03,2.370,,,
1.04,2.375,0.437,-0.217,-1.396
1.05,2.370,,,
1.06,2.375,0.432,-0.241,-1.087
1.07,2.375,,,
1.08,2.375,0.427,-0.263,-0.687
1.09,2.375,,,
1.10,2.375,0.421,-0.271,-0.188
1.11,2.375,,,
1.12,2.375,0.416,-0.267,0.183
1.13,2.370,,,
1.14,2.375,0.411,-0.262,0.503
1.15,2.370,,,
1.16,2.375,0.406,-0.250,0.941
1.17,2.370,,,
1.18,2.375,0.401,-0.226,1.462
1.19,2.375,,,
1.20,2.375,0.396,-0.189,1.884
1.21,2.375,,,
1.22,2.375,0.393,-0.146,2.074
1.23,2.375,,,
1.24,2.375,0.391,-0.106,2.225
1.25,2.370,,,
1.26,2.375,0.388,-0.059,2.429
1.27,2.375,,,
1.28,2.370,0.388,-0.005,2.446
1.29,2.370,,,
1.30,2.370,0.388,0.041,2.360
1.31,2.375,,,
1.32,2.375,0.390,0.088,2.306
1.33,2.375,,,
1.34,2.375,0.392,0.136,2.115
1.35,2.375,,,
