"Time","Position","Velocity","Acceleration","Potential"
0.01,,,,2.375
0.02,0.414,0.222,0.270,2.375
0.03,,,,2.370
0.04,0.419,0.229,0.090,2.375
0.05,,,,2.375
0.06,0.424,0.231,-0.204,2.375
0.07,,,,2.375
0.08,0.428,0.222,-0.534,2.370
0.09,,,,2.375
0.10,0.433,0.208,-0.823,2.370
0.11,,,,2.375
0.12,0.437,0.191,-1.210,2.375
0.13,,,,2.370
0.14,0.440,0.161,-1.662,2.370
0.15,,,,2.375
0.16,0.443,0.120,-1.885,2.370
0.17,,,,2.375
0.18,0.445,0.082,-1.923,2.375
0.19,,,,2.370
0.20,0.446,0.046,-2.059,2.375
0.21,,,,2.370
0.22,0.447,0.002,-2.265,2.375
0.23,,,,2.370
0.24,0.447,-0.050,-2.256,2.375
0.25,,,,2.375
0.26,0.445,-0.092,-2.042,2.370
0.27,,,,2.375
0.28,0.443,-0.130,-1.831,2.375
0.29,,,,2.375
0.30,0.440,-0.167,-1.531,2.375
0.31,,,,2.375
0.32,0.436,-0.192,-1.182,2.375
0.33,,,,2.375
0.34,0.432,-0.214,-0.839,2.375
0.35,,,,2.375
0.36,0.427,-0.229,-0.326,2.370
0.37,,,,2.375
0.38,0.423,-0.229,0.267,2.375
0.39,,,,2.370
0.40,0.418,-0.215,0.695,2.375
0.41,,,,2.375
0.42,0.414,-0.198,0.962,2.375
0.43,,,,2.375
0.44,0.410,-0.178,1.288,2.370
0.45,,,,2.375
0.46,0.407,-0.146,1.606,2.375
0.47,,,,2.375
0.48,0.404,-0.111,1.788,2.370
0.49,,,,2.375
0.50,0.402,-0.075,1.966,1.818
0.51,,,,1.620
0.52,0.401,-0.033,2.163,2.370
0.53,,,,2.375
0.54,0.401,0.012,2.290,2.370
0.55,,,,2.375
0.56,0.401,0.062,2.220,2.370
0.57,,,,2.375
0.58,0.403,0.105,1.963,2.375
0.59,,,,2.375
0.60,0.406,0.139,1.751,2.375
0.61,,,,2.375
0.62,0.409,0.175,1.490,2.375
0.63,,,,2.375
0.64,0.413,0.202,1.043,2.370
0.65,,,,2.375
0.66,0.417,0.217,0.588,2.375
0.67,,,,2.375
0.68,0.422,0.225,0.178,2.375
0.69,,,,2.370
0.70,0.426,0.223,-0.196,2.375
0.71,,,,2.375
0.72,0.431,0.219,-0.638,2.375
0.73,,,,2.375
0.74,0.435,0.200,-1.158,2.375
0.75,,,,2.375
0.76,0.439,0.169,-1.510,2.370
0.77,,,,2.375
0.78,0.442,0.136,-1.693,2.375
0.79,,,,2.375
0.80,0.444,0.103,-1.938,2.375
0.81,,,,2.375
0.82,0.446,0.060,-2.213,2.370
0.83,,,,2.375
0.84,0.447,0.010,-2.258,2.375
0.85,,,,2.375
0.86,0.447,-0.035,-2.094,2.375
0.87,,,,2.375
0.88,0.445,-0.072,-2.006,2.375
0.89,,,,2.375
0.90,0.444,-0.113,-1.977,2.370
0.91,,,,2.375
0.92,0.441,-0.156,-1.733,2.370
0.93,,,,2.375
0.94,0.437,-0.186,-1.286,2.375
0.95,,,,2.370
0.96,0.433,-0.205,-0.886,2.375
0.97,,,,2.375
0.98,0.429,-0.221,-0.517,2.375
0.99,,,,2.370
1.00,0.424,-0.230,0.011,2.375
1.01,,,,2.375
1.02,0.420,-0.221,0.546,2.370
1.03,,,,2.370
1.04,0.415,-0.203,0.865,2.375
1.05,,,,2.370
1.06,0.412,-0.185,1.117,2.375
1.07,,,,2.375
1.08,0.408,-0.161,1.457,2.375
1.09,,,,2.375
1.10,0.405,-0.126,1.772,2.370
1.11,,,,2.375
1.12,0.403,-0.089,2.040,2.370
1.13,,,,1.204
1.14,0.401,-0.042,2.183,2.238
1.15,,,,2.375
1.16,0.401,0.002,2.127,2.370
1.17,,,,2.375
1.18,0.402,0.042,2.077,2.375
1.19,,,,2.375
1.20,0.403,0.084,2.069,2.375
1.21,,,,2.370
1.22,0.405,0.128,1.897,2.375
1.23,,,,2.370
1.24,0.408,0.164,1.512,2.375
1.25,,,,2.370
1.26,0.412,0.188,1.135,2.375
1.27,,,,2.375
1.28,0.416,0.207,0.839,2.375
1.29,,,,2.375
1.30,0.420,0.223,0.472,2.375
1.31,,,,2.375
1.32,0.425,0.230,-0.057,2.375
1.33,,,,2.375
1.34,0.429,0.221,-0.604,2.375
1.35,,,,2.375
1.36,0.434,0.203,-1.022,2.375
1.37,,,,2.375
1.38,0.438,0.178,-1.331,2.370
1.39,,,,2.375
1.40,0.441,0.150,-1.633,2.375
1.41,,,,2.370
1.42,0.444,0.114,-1.970,2.375
1.43,,,,2.375
1.44,0.445,0.067,-2.114,2.375
1.45,,,,2.375
1.46,0.446,0.026,-2.086,2.370
1.47,,,,2.375
1.48,0.446,-0.016,-2.052,2.370
1.49,,,,2.375
1.50,0.446,-0.055,-2.035,2.375
1.51,,,,2.370
1.52,0.444,-0.097,-2.020,2.375
1.53,,,,2.370
1.54,0.442,-0.140,-1.810,2.375
1.55,,,,2.375
1.56,0.439,-0.173,-1.396,2.375
1.57,,,,2.375
1.58,0.435,-0.195,-0.995,2.370
1.59,,,,2.375
1.60,0.431,-0.211,-0.658,2.370
1.61,,,,2.375
1.62,0.426,-0.222,-0.263,2.375
1.63,,,,2.375
1.64,0.422,-0.224,0.224,2.375
1.65,,,,2.375
1.66,0.417,-0.214,0.734,2.370
1.67,,,,2.375
1.68,0.413,-0.191,1.096,2.370
1.69,,,,2.375
1.70,0.409,-0.167,1.311,2.375
1.71,,,,2.375
1.72,0.406,-0.141,1.615,2.375
1.73,,,,2.375
1.74,0.404,-0.105,1.973,2.375
1.75,,,,2.375
1.76,0.402,-0.058,2.144,0.971
1.77,,,,2.375
1.78,0.401,-0.014,2.100,2.375
1.79,,,,2.375
1.80,0.401,0.024,2.078,2.375
1.81,,,,2.370
1.82,0.402,0.067,2.104,2.375
1.83,,,,2.375
1.84,0.404,0.111,2.014,2.370
1.85,,,,2.375
1.86,0.407,0.152,1.705,2.370
1.87,,,,2.375
1.88,0.410,0.181,1.265,2.370
1.89,,,,2.375
1.90,0.414,0.201,0.896,2.375
1.91,,,,2.375
1.92,0.418,0.216,0.561,2.375
1.93,,,,2.375
1.94,0.423,0.224,0.187,2.370
1.95,,,,2.370
1.96,0.427,0.226,-0.306,2.375
1.97,,,,2.375
1.98,0.432,0.213,-0.857,2.375
1.99,,,,2.375
2.00,0.436,0.188,-1.242,2.375
2.01,,,,2.370
2.02,0.440,0.160,-1.472,2.375
2.03,,,,2.375
2.04,0.442,0.131,-1.731,2.370
2.05,,,,2.375
2.06,0.445,0.093,-2.064,2.370
2.07,,,,2.375
2.08,0.446,0.046,-2.283,2.375
2.09,,,,2.370
2.10,0.447,-0.002,-2.285,2.375
2.11,,,,2.375
2.12,0.446,-0.048,-2.130,2.375
2.13,,,,2.375
2.14,0.445,-0.089,-1.892,2.375
2.15,,,,2.375
2.16,0.443,-0.122,-1.736,2.375
2.17,,,,2.375
2.18,0.440,-0.157,-1.630,2.375
2.19,,,,2.370
2.20,0.436,-0.192,-1.297,2.375
2.21,,,,2.375
2.22,0.432,-0.213,-0.758,2.370
2.23,,,,2.375
2.24,0.428,-0.220,-0.288,2.375
2.25,,,,2.370
2.26,0.423,-0.221,0.056,2.375
2.27,,,,2.370
2.28,0.419,-0.219,0.441,2.375
2.29,,,,2.375
2.30,0.414,-0.206,0.926,2.375
2.31,,,,2.375
2.32,0.410,-0.182,1.389,2.370
2.33,,,,2.375
2.34,0.407,-0.147,1.654,2.370
