"Time","Position","Velocity","Acceleration","Potential"
0.02,,,,
0.04,,,,
0.06,0.356,0.419,16.009,
0.08,0.358,0.777,11.703,
0.10,0.382,1.070,3.017,
0.12,0.409,1.007,-9.514,
0.14,0.430,0.564,-16.228,
0.16,0.430,0.147,-12.545,
0.18,0.430,0.018,-5.704,
0.20,0.430,-0.007,-1.734,
0.22,0.430,-0.005,-0.341,
0.24,0.429,-0.010,-0.010,
0.26,0.429,-0.005,0.073,
0.28,0.429,-0.003,-0.026,
0.30,0.429,-0.008,-0.016,
0.32,0.429,-0.007,0.117,
0.34,0.429,-0.001,0.150,
0.36,0.429,0.001,0.076,
0.38,0.429,0.000,0.081,
0.40,0.429,0.004,0.091,
0.42,0.429,0.006,0.011,
0.44,0.429,0.003,0.002,
0.46,0.429,0.004,0.081,
0.48,0.429,0.009,0.046,
0.50,0.430,0.007,-0.033,
0.52,0.429,0.005,0.001,
0.54,0.430,0.008,0.006,
0.56,0.430,0.005,0.006,
0.58,0.430,0.008,-0.027,
0.60,0.430,0.006,-0.126,
0.62,0.430,0.001,-0.117,
0.64,0.430,0.000,-0.035,
0.66,0.430,0.002,-0.040,
0.68,0.430,0.000,-0.114,
0.70,0.430,-0.006,-0.081,
0.72,0.430,-0.005,0.026,
0.74,0.430,-0.002,0.032,
0.76,0.430,-0.002,-0.052,
0.78,0.430,-0.006,-0.054,
0.80,0.430,-0.005,-0.035,
0.82,0.430,-0.005,-0.110,
0.84,0.430,-0.011,-0.102,
0.86,0.429,-0.012,0.018,
0.88,0.429,-0.010,0.115,
0.90,0.429,-0.005,0.107,
0.92,0.429,-0.004,0.033,
0.94,0.429,-0.006,0.064,
0.96,0.429,-0.003,0.166,
0.98,0.429,0.004,0.137,
1.00,0.429,0.005,0.015,
1.02,0.429,0.001,0.012,
1.04,0.429,0.003,0.109,
1.06,0.429,0.008,0.113,
1.08,0.429,0.010,-0.007,
1.10,0.429,0.006,-0.056,
1.12,0.429,0.006,-0.043,
1.14,0.430,0.004,-0.018,
1.16,0.429,0.005,0.022,
1.18,0.430,0.007,-0.025,
1.20,0.430,0.004,-0.048,
1.22,0.430,0.003,0.006,
1.24,0.430,0.006,-0.021,
1.26,0.430,0.004,-0.123,
1.28,0.430,-0.001,-0.125,
1.30,0.430,-0.003,-0.047,
1.32,0.430,-0.003,0.039,
1.34,0.430,0.001,0.030,
1.36,0.430,0.000,-0.071,
1.38,0.430,-0.005,-0.062,
1.40,0.430,-0.003,-0.045,
1.42,0.430,-0.004,-0.127,
1.44,0.430,-0.010,-0.124,
1.46,0.429,-0.011,-0.003,
1.48,0.429,-0.009,0.104,
1.50,0.429,-0.006,0.155,
1.52,0.429,-0.001,0.114,
1.54,0.429,0.000,-0.018,
1.56,0.429,-0.003,-0.111,
1.58,0.429,-0.004,-0.205,
1.60,0.429,-0.010,-0.367,
1.62,0.429,-0.021,-0.446,
1.64,0.428,-0.030,-0.410,
1.66,0.427,-0.036,-0.427,
1.68,0.427,-0.044,-0.558,
1.70,0.426,-0.060,-0.590,
1.72,0.424,-0.071,-0.455,
1.74,0.423,-0.079,-0.269,
1.76,0.421,-0.081,-0.138,
1.78,0.420,-0.082,-0.102,
1.80,0.418,-0.087,0.017,
1.82,0.416,-0.085,0.287,
1.84,0.414,-0.076,0.584,
1.86,0.413,-0.060,0.788,
1.88,0.412,-0.042,0.871,
1.90,0.411,-0.025,0.953,
1.92,0.411,-0.006,1.126,
1.94,0.411,0.019,1.343,
1.96,0.411,0.051,1.404,
1.98,0.413,0.079,1.265,
2.00,0.415,0.100,1.174,
2.02,0.417,0.126,1.082,
2.04,0.420,0.147,0.821,
2.06,0.423,0.160,0.494,
2.08,0.426,0.166,0.184,
2.10,0.430,0.167,-0.125,
2.12,0.433,0.161,-0.441,
2.14,0.436,0.148,-0.734,
2.16,0.439,0.133,-1.086,
2.18,0.442,0.108,-1.533,
2.20,0.444,0.069,-1.832,
2.22,0.445,0.030,-1.927,
2.24,0.445,-0.009,-1.969,
2.26,0.444,-0.047,-2.039,
2.28,0.443,-0.090,-2.099,
2.30,0.441,-0.135,-1.974,
2.32,0.437,-0.171,-1.714,
2.34,0.434,-0.205,-1.357,
2.36,0.429,-0.227,-0.899,
2.38,0.424,-0.240,-0.475,
2.40,0.419,-0.247,0.008,
2.42,0.414,-0.242,0.586,
2.44,0.410,-0.224,1.141,
2.46,0.405,-0.193,1.562,
2.48,0.402,-0.159,1.858,
2.50,0.399,-0.121,2.221,
2.52,0.397,-0.071,2.614,
2.54,0.396,-0.012,2.798,
2.56,0.396,0.045,2.769,
2.58,0.398,0.098,2.727,
2.60,0.400,0.154,2.656,
2.62,0.404,0.207,2.415,
2.64,0.409,0.255,1.933,
2.66,0.414,0.288,1.287,
