"Time","Position","Velocity","Acceleration"
8.45,0.427,-0.068,2.958
8.50,0.428,0.105,2.873
8.55,0.439,0.250,2.064
8.60,0.456,0.332,0.749
8.65,0.475,0.332,-0.743
8.70,0.492,0.250,-2.043
8.75,0.503,0.107,-2.840
8.80,0.504,-0.063,-2.937
8.85,0.496,-0.217,-2.305
8.90,0.480,-0.318,-1.094
8.95,0.461,-0.337,0.384
9.00,0.443,-0.274,1.748
9.05,0.430,-0.145,2.691
9.10,0.427,0.022,2.971
9.15,0.433,0.183,2.502
9.20,0.447,0.298,1.409
9.25,0.466,0.338,-0.033
9.30,0.484,0.294,-1.459
9.35,0.498,0.177,-2.518
9.40,0.504,0.016,-2.949
9.45,0.500,-0.148,-2.644
9.50,0.488,-0.275,-1.682
9.55,0.470,-0.334,-0.308
9.60,0.451,-0.309,1.136
9.65,0.436,-0.209,2.304
9.70,0.428,-0.055,2.906
9.75,0.430,0.113,2.773
9.80,0.440,0.251,1.945
9.85,0.457,0.327,0.633
9.90,0.476,0.321,-0.842
9.95,0.493,0.233,-2.094
10.00,0.502,0.089,-2.804
10.05,0.502,-0.076,-2.821
10.10,0.494,-0.221,-2.150
10.15,0.478,-0.312,-0.949
10.20,0.459,-0.326,0.487
10.25,0.442,-0.259,1.804
10.30,0.431,-0.127,2.678
10.35,0.428,0.037,2.886
10.40,0.435,0.191,2.365
10.45,0.449,0.297,1.259
10.50,0.468,0.330,-0.155
10.55,0.486,0.280,-1.531
10.60,0.498,0.161,-2.525
10.65,0.503,0.002,-2.892
10.70,0.499,-0.158,-2.529
10.75,0.486,-0.277,-1.540
10.80,0.468,-0.327,-0.180
10.85,0.450,-0.297,1.230
10.90,0.435,-0.192,2.332
10.95,0.428,-0.040,2.852
11.00,0.431,0.123,2.660
11.05,0.442,0.254,1.805
11.10,0.459,0.321,0.513
11.15,0.477,0.310,-0.911
11.20,0.493,0.221,-2.114
11.25,0.502,0.076,-2.777
11.30,0.502,-0.085,-2.749
11.35,0.492,-0.226,-2.050
11.40,0.477,-0.311,-0.847
11.45,0.458,-0.320,0.573
11.50,0.441,-0.248,1.859
11.55,0.431,-0.114,2.675
11.60,0.429,0.047,2.818
11.65,0.436,0.196,2.261
11.70,0.451,0.296,1.145
11.75,0.469,0.323,-0.255
11.80,0.486,0.268,-1.589
11.85,0.498,0.147,-2.522
11.90,0.502,-0.010,-2.828
11.95,0.497,-0.165,-2.430
12.00,0.484,-0.278,-1.417
12.05,0.466,-0.321,-0.056
12.10,0.449,-0.283,1.296
12.15,0.435,-0.178,2.320
12.20,0.429,-0.029,2.790
12.25,0.432,0.130,2.573
12.30,0.443,0.256,1.703
12.35,0.460,0.318,0.402
12.40,0.479,0.300,-0.998
12.45,0.493,0.207,-2.141
12.50,0.501,0.064,-2.746
12.55,0.500,-0.095,-2.668
12.60,0.491,-0.230,-1.927
12.65,0.475,-0.308,-0.709
12.70,0.457,-0.308,0.678
12.75,0.441,-0.233,1.894
12.80,0.431,-0.100,2.640
12.85,0.430,0.058,2.731
12.90,0.438,0.201,2.148
12.95,0.452,0.295,1.027
13.00,0.470,0.316,-0.367
13.05,0.487,0.255,-1.667
13.10,0.498,0.130,-2.523
13.15,0.501,-0.024,-2.750
13.20,0.496,-0.172,-2.309
13.25,0.482,-0.278,-1.298
13.30,0.465,-0.315,0.039
13.35,0.448,-0.274,1.373
13.40,0.435,-0.164,2.372
13.45,0.430,-0.012,2.773
13.50,0.433,0.142,2.469
13.55,0.445,0.260,1.555
13.60,0.462,0.313,0.261
13.65,0.480,0.289,-1.108
13.70,0.494,0.191,-2.191
13.75,0.501,0.046,-2.710
13.80,0.499,-0.107,-2.566
13.85,0.489,-0.236,-1.795
13.90,0.473,-0.306,-0.574
13.95,0.455,-0.299,0.790
14.00,0.440,-0.219,1.954
14.05,0.431,-0.084,2.635
14.10,0.431,0.072,2.662
14.15,0.439,0.210,2.027
14.20,0.454,0.295,0.887
14.25,0.472,0.308,-0.475
14.30,0.488,0.243,-1.721
14.35,0.499,0.118,-2.541
14.40,0.501,-0.038,-2.714
14.45,0.494,-0.182,-2.205
14.50,0.481,-0.280,-1.164
14.55,0.463,-0.310,0.172
14.60,0.447,-0.261,1.460
14.65,0.435,-0.149,2.377
14.70,0.430,0.001,2.712
14.75,0.435,0.150,2.374
14.80,0.447,0.263,1.442
14.85,0.464,0.309,0.147
14.90,0.481,0.279,-1.181
14.95,0.494,0.179,-2.209
15.00,0.501,0.035,-2.682
15.05,0.498,-0.117,-2.492
15.10,0.488,-0.239,-1.696
15.15,0.472,-0.304,-0.479
15.20,0.454,-0.293,0.868
15.25,0.440,-0.208,2.004
15.30,0.431,-0.071,2.632
15.35,0.432,0.082,2.603
15.40,0.441,0.215,1.955
15.45,0.455,0.294,0.936
15.50,0.473,0.306,0.003
15.55,0.489,0.270,-0.510
15.60,0.498,0.230,-0.725
