"Time","Position","Velocity","Acceleration"
0.05,0.398,-0.004,-0.025
0.10,0.397,-0.004,-0.036
0.15,0.398,-0.008,-0.024
0.20,0.396,-0.009,0.036
0.25,0.396,-0.003,0.077
0.30,0.396,0.000,0.079
0.35,0.396,0.004,0.078
0.40,0.396,0.011,0.021
0.45,0.398,0.009,-0.076
0.50,0.398,-0.001,-0.084
0.55,0.397,-0.004,-0.016
0.60,0.397,-0.001,0.031
0.65,0.397,0.002,0.024
0.70,0.397,0.002,0.003
0.75,0.397,0.001,-0.007
0.80,0.398,0.001,-0.023
0.85,0.398,-0.001,-0.028
0.90,0.397,-0.003,-0.008
0.95,0.397,-0.002,0.006
1.00,0.397,-0.001,-0.006
1.05,0.397,-0.003,-0.012
1.10,0.397,-0.003,-0.001
1.15,0.397,-0.003,0.013
1.20,0.397,-0.002,0.032
1.25,0.396,0.002,0.027
1.30,0.397,0.002,0.001
1.35,0.397,0.001,-0.006
1.40,0.397,0.001,-0.010
1.45,0.397,0.000,-0.013
1.50,0.397,0.000,-0.035
1.55,0.397,-0.001,-0.111
1.60,0.397,-0.008,-0.224
1.65,0.397,-0.028,-0.236
1.70,0.394,-0.040,-0.093
1.75,0.392,-0.037,0.025
1.80,0.390,-0.029,-0.014
1.85,0.390,-0.030,-0.194
1.90,0.388,-0.056,-0.210
1.95,0.383,-0.069,0.156
2.00,0.380,-0.050,0.806
2.05,0.378,0.001,1.594
2.10,0.377,0.108,2.197
2.15,0.383,0.301,1.388
2.20,0.420,0.278,0.068
2.25,0.413,0.206,0.443
2.30,0.429,0.309,1.061
2.35,0.447,0.375,0.598
2.40,0.469,0.398,-0.551
2.45,0.490,0.330,-1.988
2.50,0.505,0.184,-3.065
2.55,0.511,-0.007,-3.438
2.60,0.505,-0.195,-2.972
2.65,0.489,-0.334,-1.784
2.70,0.468,-0.391,-0.160
2.75,0.446,-0.352,1.514
2.80,0.429,-0.224,2.815
2.85,0.421,-0.041,3.413
2.90,0.424,0.152,3.153
2.95,0.438,0.307,2.106
3.00,0.458,0.384,0.542
3.05,0.480,0.366,-1.148
3.10,0.499,0.257,-2.541
3.15,0.509,0.086,-3.310
3.20,0.508,-0.108,-3.259
3.25,0.497,-0.274,-2.385
3.30,0.478,-0.370,-0.930
3.35,0.456,-0.376,0.750
3.40,0.436,-0.288,2.244
3.45,0.424,-0.129,3.183
3.50,0.422,0.063,3.332
3.55,0.431,0.239,2.643
3.60,0.449,0.355,1.298
3.65,0.470,0.382,-0.365
3.70,0.491,0.314,-1.927
3.75,0.505,0.169,-3.002
3.80,0.509,-0.017,-3.338
3.85,0.503,-0.199,-2.849
3.90,0.487,-0.331,-1.653
3.95,0.467,-0.381,-0.046
4.00,0.445,-0.336,1.575
4.05,0.429,-0.207,2.797
4.10,0.423,-0.027,3.314
4.15,0.426,0.158,3.007
4.20,0.440,0.304,1.960
4.25,0.460,0.374,0.429
4.30,0.481,0.351,-1.208
4.35,0.499,0.241,-2.546
4.40,0.508,0.071,-3.253
4.45,0.507,-0.119,-3.133
4.50,0.495,-0.275,-2.231
4.55,0.476,-0.363,-0.804
4.60,0.455,-0.363,0.817
4.65,0.436,-0.274,2.253
4.70,0.424,-0.115,3.131
4.75,0.424,0.072,3.218
4.80,0.433,0.239,2.515
4.85,0.450,0.349,1.194
4.90,0.471,0.372,-0.435
4.95,0.491,0.301,-1.951
5.00,0.504,0.156,-2.980
5.05,0.508,-0.028,-3.257
5.10,0.501,-0.203,-2.714
5.15,0.486,-0.327,-1.510
5.20,0.465,-0.369,0.052
5.25,0.445,-0.321,1.592
5.30,0.430,-0.195,2.761
5.35,0.423,-0.017,3.249
5.40,0.428,0.165,2.902
5.45,0.442,0.303,1.831
5.50,0.461,0.367,0.308
5.55,0.482,0.337,-1.288
5.60,0.498,0.223,-2.541
5.65,0.507,0.057,-3.161
5.70,0.505,-0.124,-3.012
5.75,0.493,-0.275,-2.116
5.80,0.474,-0.358,-0.688
5.85,0.454,-0.351,0.912
5.90,0.436,-0.257,2.281
5.95,0.425,-0.100,3.087
6.00,0.425,0.084,3.121
6.05,0.434,0.245,2.376
6.10,0.452,0.345,1.047
6.15,0.473,0.360,-0.537
6.20,0.491,0.286,-1.986
6.25,0.504,0.141,-2.942
6.30,0.507,-0.039,-3.160
6.35,0.500,-0.208,-2.591
6.40,0.484,-0.324,-1.384
6.45,0.464,-0.360,0.163
6.50,0.444,-0.305,1.651
6.55,0.430,-0.178,2.719
6.60,0.425,-0.007,3.135
6.65,0.430,0.168,2.772
6.70,0.443,0.300,1.705
6.75,0.463,0.356,0.212
6.80,0.483,0.323,-1.334
6.85,0.498,0.209,-2.540
6.90,0.506,0.042,-3.099
6.95,0.503,-0.133,-2.878
7.00,0.491,-0.275,-1.951
7.05,0.473,-0.348,-0.548
7.10,0.453,-0.335,0.991
7.15,0.436,-0.239,2.288
7.20,0.426,-0.083,3.018
7.25,0.427,0.094,2.994
7.30,0.437,0.247,2.220
7.35,0.454,0.339,0.891
7.40,0.474,0.346,-0.662
7.45,0.492,0.266,-2.040
7.50,0.503,0.120,-2.895
7.55,0.505,-0.054,-3.027
7.60,0.497,-0.213,-2.418
7.65,0.482,-0.320,-1.211
7.70,0.462,-0.347,0.294
7.75,0.443,-0.287,1.720
7.80,0.430,-0.157,2.719
7.85,0.426,0.013,3.038
7.90,0.432,0.179,2.591
7.95,0.446,0.297,1.514
8.00,0.464,0.345,0.077
8.05,0.484,0.307,-1.396
8.10,0.498,0.192,-2.533
8.15,0.505,0.027,-3.033
8.20,0.501,-0.144,-2.755
8.25,0.489,-0.277,-1.791
8.30,0.471,-0.341,-0.401
8.35,0.451,-0.320,1.082
8.40,0.436,-0.222,2.299
