"Time","Position","Velocity","Acceleration","Potential"
0.01,,,,2.375
0.02,0.411,0.011,0.484,2.375
0.03,,,,2.375
0.04,0.411,0.019,0.595,2.375
0.05,,,,2.375
0.06,0.411,0.031,0.729,2.375
0.07,,,,2.375
0.08,0.412,0.051,0.748,2.375
0.09,,,,2.370
0.10,0.413,0.065,0.602,2.375
0.11,,,,2.375
0.12,0.415,0.073,0.506,2.375
0.13,,,,2.010
0.14,0.416,0.084,0.444,1.006
0.15,,,,2.375
0.16,0.418,0.092,0.325,2.370
0.17,,,,2.375
0.18,0.420,0.096,0.275,2.375
0.19,,,,2.370
0.20,0.422,0.104,0.173,2.375
0.21,,,,2.375
0.22,0.424,0.105,-0.027,2.375
0.23,,,,2.375
0.24,0.426,0.102,-0.168,2.375
0.25,,,,2.375
0.26,0.428,0.097,-0.251,2.370
0.27,,,,2.375
0.28,0.430,0.092,-0.346,2.375
0.29,,,,2.370
0.30,0.432,0.085,-0.530,2.375
0.31,,,,2.370
0.32,0.434,0.069,-0.635,2.370
0.33,,,,2.375
0.34,0.435,0.056,-0.587,2.370
0.35,,,,2.375
0.36,0.436,0.047,-0.601,2.370
0.37,,,,2.375
0.38,0.437,0.035,-0.717,2.375
0.39,,,,2.370
0.40,0.437,0.016,-0.753,2.375
0.41,,,,2.375
0.42,0.437,0.004,-0.753,2.375
0.43,,,,2.375
0.44,0.437,-0.011,-0.836,2.375
0.45,,,,2.375
0.46,0.437,-0.031,-0.841,2.375
0.47,,,,2.370
0.48,0.436,-0.048,-0.703,2.375
0.49,,,,2.375
0.50,0.435,-0.059,-0.566,2.375
0.51,,,,2.380
0.52,0.434,-0.067,-0.569,2.375
0.53,,,,2.375
0.54,0.432,-0.081,-0.608,2.375
0.55,,,,2.375
0.56,0.431,-0.095,-0.489,2.375
0.57,,,,2.375
0.58,0.428,-0.103,-0.266,2.375
0.59,,,,2.370
0.60,0.426,-0.105,-0.071,2.375
0.61,,,,2.375
0.62,0.424,-0.103,0.020,2.375
0.63,,,,2.375
0.64,0.422,-0.103,0.069,2.375
0.65,,,,2.370
0.66,0.420,-0.103,0.231,2.375
0.67,,,,2.370
0.68,0.418,-0.094,0.371,2.375
0.69,,,,2.375
0.70,0.416,-0.085,0.398,2.370
0.71,,,,2.375
0.72,0.415,-0.080,0.520,2.370
0.73,,,,2.375
0.74,0.413,-0.068,0.746,2.370
0.75,,,,2.375
0.76,0.412,-0.047,0.836,2.375
0.77,,,,2.375
0.78,0.411,-0.031,0.788,2.375
0.79,,,,2.375
0.80,0.411,-0.018,0.813,2.370
0.81,,,,2.375
0.82,0.410,0.000,0.887,2.370
0.83,,,,2.375
0.84,0.410,0.021,0.832,2.375
0.85,,,,2.370
0.86,0.411,0.035,0.695,2.375
0.87,,,,2.375
0.88,0.412,0.046,0.678,2.375
0.89,,,,2.375
